group,value,n_above,n_below,p_above_given_above_good,ci_a,p_above_given_below_good,ci_b,diff,diff_ci,p_fav,p_fav_ci,bias
all,,98,95,0.7142857142857143,"(0.6180914698303976, 0.7943136769858347)",0.18947368421052632,"(0.12334753468178354, 0.2797378059035571)",0.524812030075188,"(0.4010660580021483, 0.6389903329752953)",0.7616580310880829,"(0.6968107554788933, 0.8162921658548087)",0.5233160621761659
restates_bet,present,98,95,0.7142857142857143,"(0.6180914698303976, 0.7943136769858347)",0.18947368421052632,"(0.12334753468178354, 0.2797378059035571)",0.524812030075188,"(0.4010660580021483, 0.6389903329752953)",0.7616580310880829,"(0.6968107554788933, 0.8162921658548087)",0.5233160621761659
restates_bet,absent,0,0,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",
resolves_to_ignore,present,98,94,0.7142857142857143,"(0.6180914698303976, 0.7943136769858347)",0.19148936170212766,"(0.12470043241202647, 0.2825046827945932)",0.5227963525835866,"(0.3977420755536257, 0.6389600521059488)",0.7604166666666666,"(0.6953102656625879, 0.8153064776646725)",0.5208333333333333
resolves_to_ignore,absent,0,1,,"(nan, nan)",0.0,"(0.0, 0.7934567085261071)",,"(nan, nan)",1.0,"(0.20654329147389294, 1.0)",1.0
explicit_aiming,present,18,33,0.8333333333333334,"(0.6077750036164077, 0.9416352959953425)",0.15151515151515152,"(0.06650359257960956, 0.30920213138460484)",0.6818181818181819,"(0.4545454545454545, 0.8838383838383839)",0.8431372549019608,"(0.7198929160164018, 0.9183087411197867)",0.6862745098039216
explicit_aiming,absent,80,62,0.6875,"(0.5793201821792608, 0.7784974167215235)",0.20967741935483872,"(0.1268387028631334, 0.32639451139654446)",0.47782258064516125,"(0.3293850806451613, 0.6100806451612903)",0.7323943661971831,"(0.654161154214996, 0.7983846214758906)",0.46478873239436624
user_intent_reading,present,71,69,0.704225352112676,"(0.5898124223983721, 0.7976726126623428)",0.21739130434782608,"(0.13640646957336042, 0.328185192334121)",0.48683404776484995,"(0.345172484180445, 0.6164523372116759)",0.7428571428571429,"(0.6646516640043542, 0.8080905746804214)",0.48571428571428577
user_intent_reading,absent,27,26,0.7407407407407407,"(0.5532106959738432, 0.8682979157713321)",0.11538461538461539,"(0.04003171821149494, 0.28976293086898336)",0.6253561253561253,"(0.4016737891737892, 0.8133903133903134)",0.8113207547169812,"(0.6864128355267498, 0.8941478805685044)",0.6226415094339623
threshold_as_evidence,present,98,95,0.7142857142857143,"(0.6180914698303976, 0.7943136769858347)",0.18947368421052632,"(0.12334753468178354, 0.2797378059035571)",0.524812030075188,"(0.4010660580021483, 0.6389903329752953)",0.7616580310880829,"(0.6968107554788933, 0.8162921658548087)",0.5233160621761659
threshold_as_evidence,absent,0,0,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",
suspicion,present,45,42,0.6666666666666666,"(0.520702168092554, 0.7864130779272324)",0.2857142857142857,"(0.1716685874457567, 0.43567496077245566)",0.38095238095238093,"(0.19015873015873017, 0.5650793650793651)",0.6896551724137931,"(0.5861598330932992, 0.7771098583256103)",0.3793103448275863
suspicion,absent,53,53,0.7547169811320755,"(0.6243318493782993, 0.8506723728814541)",0.11320754716981132,"(0.05292958911068668, 0.22576770301339144)",0.6415094339622642,"(0.49056603773584906, 0.7735849056603774)",0.8207547169811321,"(0.7369343386688845, 0.8821389450414767)",0.6415094339622642
disclosure=admits,admits,1,0,1.0,"(0.20654329147389294, 1.0)",,"(nan, nan)",,"(nan, nan)",1.0,"(0.20654329147389294, 1.0)",1.0
disclosure=mentions,mentions,8,10,0.625,"(0.3057378545838018, 0.863158240538479)",0.2,"(0.05668094798069332, 0.5098431532792765)",0.425,"(0.0, 0.875)",0.7222222222222222,"(0.49126922453805477, 0.8750043085364453)",0.4444444444444444
disclosure=no_mention,no_mention,54,36,0.7777777777777778,"(0.6506107316841219, 0.8680471201042104)",0.2222222222222222,"(0.11716192974839595, 0.3808501982785908)",0.5555555555555556,"(0.37939814814814815, 0.7407407407407407)",0.7777777777777778,"(0.6815249725824007, 0.8512877671833321)",0.5555555555555556
disclosure=denies,denies,35,49,0.6285714285714286,"(0.4633664048802107, 0.7683439263110893)",0.16326530612244897,"(0.08512596988208977, 0.29036606669515236)",0.4653061224489796,"(0.26938775510204077, 0.6530612244897959)",0.75,"(0.6478552553489343, 0.830278111984994)",0.5
any_bet_revision,present,65,77,0.676923076923077,"(0.5561376050627119, 0.7779627063768827)",0.14285714285714285,"(0.08168247823927464, 0.2379747279515974)",0.5340659340659342,"(0.38981018981018983, 0.6629370629370629)",0.7746478873239436,"(0.6992178762682162, 0.835608949548286)",0.5492957746478873
any_bet_revision,absent,33,18,0.7878787878787878,"(0.6224802241287064, 0.8932411343356382)",0.3888888888888889,"(0.2030499192693116, 0.6138133141934383)",0.39898989898989895,"(0.11616161616161613, 0.6565656565656566)",0.7254901960784313,"(0.5905308805092127, 0.8288587798945684)",0.4509803921568627
