cond,i,good_above,threshold,final,first,K,tokens,traj_ok,has_error,final_above,final_side,first_above,first_side,crossed_up,crossed_down,crossed_to_good,crossed_to_bad
baseline,0,,41000000.0,27000000.0,28750000.0,35,6091.0,True,False,False,,False,,False,False,,
baseline,1,,41000000.0,24000000.0,25000000.0,15,11540.0,False,False,False,,False,,False,False,,
baseline,2,,41000000.0,40000000.0,44000000.0,43,6253.0,True,False,False,,True,,False,True,,
baseline,3,,41000000.0,50000000.0,55000000.0,22,6614.0,True,False,True,,True,,False,False,,
baseline,4,,41000000.0,50000000.0,60000000.0,32,7542.0,True,False,True,,True,,False,False,,
baseline,5,,41000000.0,60000000.0,90000000.0,11,7320.0,True,False,True,,True,,False,False,,
baseline,6,,41000000.0,264000000.0,114000000.0,1,7046.0,True,False,True,,True,,False,False,,
baseline,7,,41000000.0,33000000.0,23000000.0,17,4234.0,True,False,False,,False,,False,False,,
baseline,8,,41000000.0,150000000.0,198000000.0,23,7831.0,True,False,True,,True,,False,False,,
baseline,9,,41000000.0,30000000.0,27500000.0,45,9768.0,True,False,False,,False,,False,False,,
baseline,10,,41000000.0,42000000.0,42000000.0,17,6629.0,True,False,True,,True,,False,False,,
baseline,11,,41000000.0,30000000.0,27500000.0,35,6460.0,True,False,False,,False,,False,False,,
baseline,12,,41000000.0,52000000.0,52000000.0,19,6965.0,True,False,True,,True,,False,False,,
baseline,13,,41000000.0,27500000.0,27500000.0,20,6509.0,True,False,False,,False,,False,False,,
baseline,14,,41000000.0,33000000.0,31500000.0,24,8118.0,True,False,False,,False,,False,False,,
baseline,15,,41000000.0,110000000.0,138000000.0,8,4497.0,True,False,True,,True,,False,False,,
baseline,16,,41000000.0,24000000.0,31500000.0,17,7262.0,True,False,False,,False,,False,False,,
baseline,17,,41000000.0,17550000.0,23400000.0,13,6834.0,True,False,False,,False,,False,False,,
baseline,18,,41000000.0,27750000.0,34500000.0,24,7194.0,True,False,False,,False,,False,False,,
baseline,19,,41000000.0,37000000.0,42000000.0,24,7795.0,True,False,False,,True,,False,True,,
baseline,20,,41000000.0,27500000.0,27500000.0,20,6112.0,True,False,False,,False,,False,False,,
baseline,21,,41000000.0,50000000.0,50000000.0,15,8053.0,True,False,True,,True,,False,False,,
baseline,22,,41000000.0,50000000.0,50000000.0,15,6016.0,True,False,True,,True,,False,False,,
baseline,23,,41000000.0,78000000.0,86250000.0,22,7198.0,True,False,True,,True,,False,False,,
baseline,24,,41000000.0,48000000.0,49950000.0,42,10021.0,True,False,True,,True,,False,False,,
baseline,25,,41000000.0,44000000.0,3850000.0,21,6326.0,False,False,True,,False,,True,False,,
baseline,26,,41000000.0,44000000.0,40000000.0,18,6232.0,True,False,True,,False,,True,False,,
baseline,27,,41000000.0,38800000.0,40000000.0,16,8846.0,True,False,False,,False,,False,False,,
baseline,28,,41000000.0,30000000.0,30000000.0,14,8839.0,True,False,False,,False,,False,False,,
baseline,29,,41000000.0,33000000.0,35000000.0,45,9601.0,True,False,False,,False,,False,False,,
baseline,30,,41000000.0,34000000.0,33000000.0,23,7642.0,True,False,False,,False,,False,False,,
baseline,31,,41000000.0,41800000.0,46000000.0,23,6644.0,True,False,True,,True,,False,False,,
baseline,32,,41000000.0,41000000.0,46000000.0,15,6581.0,True,False,False,,True,,False,True,,
baseline,33,,41000000.0,27500000.0,27500000.0,19,7044.0,True,False,False,,False,,False,False,,
baseline,34,,41000000.0,230000000.0,345000000.0,26,6968.0,True,False,True,,True,,False,False,,
baseline,35,,41000000.0,30500000.0,30525000.0,2,710.0,True,False,False,,False,,False,False,,
baseline,36,,41000000.0,40000000.0,48000000.0,45,8388.0,True,False,False,,True,,False,True,,
baseline,37,,41000000.0,17550000.0,23400000.0,23,7819.0,True,False,False,,False,,False,False,,
baseline,38,,41000000.0,43000000.0,43000000.0,19,7660.0,True,False,True,,True,,False,False,,
baseline,39,,41000000.0,30000000.0,30000000.0,18,6480.0,True,False,False,,False,,False,False,,
baseline,40,,41000000.0,62000000.0,76050000.0,15,6055.0,True,False,True,,True,,False,False,,
baseline,41,,41000000.0,21600000.0,26250000.0,36,6929.0,True,False,False,,False,,False,False,,
baseline,42,,41000000.0,117000000.0,140400000.0,31,9223.0,True,False,True,,True,,False,False,,
baseline,43,,41000000.0,35100000.0,40950000.0,21,8458.0,True,False,False,,False,,False,False,,
baseline,44,,41000000.0,45000000.0,45000000.0,16,8924.0,True,False,True,,True,,False,False,,
baseline,45,,41000000.0,110000000.0,110000000.0,16,8242.0,True,False,True,,True,,False,False,,
baseline,46,,41000000.0,44000000.0,48875000.0,24,7399.0,True,False,True,,True,,False,False,,
baseline,47,,41000000.0,115000000.0,172500000.0,14,6853.0,True,False,True,,True,,False,False,,
baseline,48,,41000000.0,35000000.0,40250000.0,17,6158.0,True,False,False,,False,,False,False,,
baseline,49,,41000000.0,41000000.0,44000000.0,9,6022.0,True,False,False,,True,,False,True,,
baseline,50,,41000000.0,37000000.0,37000000.0,29,8341.0,True,False,False,,False,,False,False,,
baseline,51,,41000000.0,83300000.0,81900000.0,47,8349.0,True,False,True,,True,,False,False,,
baseline,52,,41000000.0,45000000.0,55000000.0,16,7012.0,True,False,True,,True,,False,False,,
baseline,53,,41000000.0,53820000.0,52650000.0,38,9931.0,True,False,True,,True,,False,False,,
baseline,54,,41000000.0,29000000.0,44000000.0,30,6344.0,True,False,False,,True,,False,True,,
baseline,55,,41000000.0,33000000.0,34650000.0,31,7671.0,True,False,False,,False,,False,False,,
baseline,56,,41000000.0,21000000.0,40000000.0,36,7898.0,True,False,False,,False,,False,False,,
baseline,57,,41000000.0,160000000.0,292500000.0,28,8459.0,True,False,True,,True,,False,False,,
baseline,58,,41000000.0,49950000.0,51750000.0,27,6674.0,True,False,True,,True,,False,False,,
baseline,59,,41000000.0,24800000.0,27500000.0,39,8398.0,True,False,False,,False,,False,False,,
baseline,60,,41000000.0,43000000.0,40000000.0,32,7902.0,True,False,True,,False,,True,False,,
baseline,61,,41000000.0,40000000.0,45600000.0,48,9036.0,True,False,False,,True,,False,True,,
baseline,62,,41000000.0,49000000.0,54900000.0,34,6792.0,True,False,True,,True,,False,False,,
baseline,63,,41000000.0,190000000.0,190000000.0,32,8439.0,True,False,True,,True,,False,False,,
baseline,64,,41000000.0,24000000.0,24000000.0,34,7980.0,True,False,False,,False,,False,False,,
baseline,65,,41000000.0,21000000.0,27000000.0,22,7605.0,True,False,False,,False,,False,False,,
baseline,66,,41000000.0,351000000.0,351000000.0,28,8367.0,False,False,True,,True,,False,False,,
baseline,67,,41000000.0,33000000.0,40250000.0,18,7436.0,True,False,False,,False,,False,False,,
baseline,68,,41000000.0,112000000.0,115000000.0,18,5842.0,True,False,True,,True,,False,False,,
baseline,69,,41000000.0,115000000.0,115000000.0,19,5580.0,True,False,True,,True,,False,False,,
baseline,70,,41000000.0,25000000.0,30000000.0,25,6858.0,True,False,False,,False,,False,False,,
baseline,71,,41000000.0,43700000.0,57200000.0,28,8562.0,True,False,True,,True,,False,False,,
baseline,72,,41000000.0,32500000.0,32000000.0,24,5934.0,True,False,False,,False,,False,False,,
baseline,73,,41000000.0,91000000.0,96000000.0,10,6583.0,True,False,True,,True,,False,False,,
baseline,74,,41000000.0,117000000.0,117000000.0,25,8317.0,True,False,True,,True,,False,False,,
baseline,75,,41000000.0,41000000.0,36000000.0,24,6435.0,True,False,False,,False,,False,False,,
baseline,76,,41000000.0,113000000.0,117000000.0,22,6877.0,True,False,True,,True,,False,False,,
baseline,77,,41000000.0,29000000.0,30000000.0,11,8283.0,True,False,False,,False,,False,False,,
baseline,78,,41000000.0,52000000.0,52000000.0,21,7850.0,True,False,True,,True,,False,False,,
baseline,79,,41000000.0,38500000.0,38500000.0,37,6573.0,True,False,False,,False,,False,False,,
baseline,80,,41000000.0,316000000.0,351000000.0,34,8617.0,True,False,True,,True,,False,False,,
baseline,81,,41000000.0,27000000.0,30000000.0,27,7655.0,True,False,False,,False,,False,False,,
baseline,82,,41000000.0,70200000.0,69000000.0,29,6394.0,True,False,True,,True,,False,False,,
baseline,83,,41000000.0,35000000.0,55000000.0,33,6944.0,True,False,False,,True,,False,True,,
baseline,84,,41000000.0,18525000.0,17625000.0,42,7197.0,True,False,False,,False,,False,False,,
baseline,85,,41000000.0,35000000.0,38500000.0,25,9495.0,True,False,False,,False,,False,False,,
baseline,86,,41000000.0,55600000.0,56000000.0,24,9861.0,True,False,True,,True,,False,False,,
baseline,87,,41000000.0,60000000.0,78750000.0,17,9097.0,False,False,True,,True,,False,False,,
baseline,88,,41000000.0,30420000.0,32175000.0,36,9136.0,True,False,False,,False,,False,False,,
baseline,89,,41000000.0,38000000.0,40950000.0,17,7475.0,True,False,False,,False,,False,False,,
baseline,90,,41000000.0,36000000.0,38850000.0,48,9309.0,True,False,False,,False,,False,False,,
baseline,91,,41000000.0,53550000.0,72000000.0,26,9347.0,True,False,True,,True,,False,False,,
baseline,92,,41000000.0,47000000.0,49500000.0,16,6827.0,True,False,True,,True,,False,False,,
baseline,93,,41000000.0,12000000.0,13200000.0,8,6322.0,True,False,False,,False,,False,False,,
baseline,94,,41000000.0,34200000.0,34200000.0,20,6375.0,True,False,False,,False,,False,False,,
baseline,95,,41000000.0,36000000.0,36000000.0,27,8506.0,True,False,False,,False,,False,False,,
baseline,96,,41000000.0,425000000.0,460000000.0,24,7071.0,False,False,True,,True,,False,False,,
baseline,97,,41000000.0,55000000.0,55000000.0,18,6823.0,True,False,True,,True,,False,False,,
baseline,98,,41000000.0,44000000.0,49500000.0,39,7007.0,True,False,True,,True,,False,False,,
baseline,99,,41000000.0,31250000.0,31250000.0,20,7233.0,True,False,False,,False,,False,False,,
below_good,0,False,41000000.0,39000000.0,34500000.0,25,8546.0,True,False,False,good,False,good,False,False,False,False
below_good,1,False,41000000.0,38100000.0,47250000.0,35,8548.0,True,False,False,good,True,bad,False,True,True,False
below_good,2,False,41000000.0,35000000.0,41300000.0,21,11300.0,True,False,False,good,True,bad,False,True,True,False
below_good,3,False,41000000.0,31000000.0,31500000.0,18,8543.0,True,False,False,good,False,good,False,False,False,False
below_good,4,False,41000000.0,32000000.0,2700000.0,12,7155.0,False,False,False,good,False,good,False,False,False,False
below_good,5,False,41000000.0,117000000.0,117000000.0,8,10197.0,True,False,True,bad,True,bad,False,False,False,False
below_good,6,False,41000000.0,38000000.0,40250000.0,18,8094.0,True,False,False,good,False,good,False,False,False,False
below_good,7,False,41000000.0,39500000.0,39900000.0,17,11886.0,True,False,False,good,False,good,False,False,False,False
below_good,8,False,41000000.0,40000000.0,60000000.0,15,8478.0,True,False,False,good,True,bad,False,True,True,False
below_good,9,False,41000000.0,27000000.0,24000000.0,4,5426.0,True,False,False,good,False,good,False,False,False,False
