comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,32.0,9620.96875,9294.0,9.155868734578425,cell,,,,,,,,,,
above_good,incentive,good,65.0,8895.83076923077,8793.0,9.07999690205719,cell,,,,,,,,,,
above_good,baseline,bad,45.0,7319.044444444445,7436.0,8.854106705320477,cell,,,,,,,,,,
above_good,baseline,good,50.0,7424.12,7029.0,8.899638677873314,cell,,,,,,,,,,
below_good,incentive,bad,47.0,9618.212765957447,9675.0,9.145486963840847,cell,,,,,,,,,,
below_good,incentive,good,46.0,8424.608695652174,8331.5,9.021022639280028,cell,,,,,,,,,,
below_good,baseline,bad,50.0,7424.12,7029.0,8.899638677873314,cell,,,,,,,,,,
below_good,baseline,good,45.0,7319.044444444445,7436.0,8.854106705320477,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.0758718325212353,-0.04553197255283692,0.12140380507407222,-0.00529054830249258,0.27732160590681565,32.0,65.0,45.0,50.0
above_good,,,,,,,length_interaction,tokens,725.1379807692301,-105.07555555555518,830.2135363247853,-27.772079326923397,1735.9576049679488,32.0,65.0,45.0,50.0
below_good,,,,,,,length_interaction,logL,0.1244643245608188,0.04553197255283692,0.07893235200798188,-0.06958742513298714,0.2154936066690521,47.0,46.0,50.0,45.0
below_good,,,,,,,length_interaction,tokens,1193.6040703052731,105.07555555555518,1088.528514749718,149.48682701202753,1969.9793664816534,47.0,46.0,50.0,45.0
