cond,i,good_above,threshold,final,first,K,tokens,traj_ok,has_error,final_above,final_side,first_above,first_side,crossed_up,crossed_down,crossed_to_good,crossed_to_bad
baseline,0,,104475000.0,16200000.0,17850000.0,43,10087,True,False,False,,False,,False,False,,
baseline,1,,104475000.0,92250000.0,90000000.0,25,9923,True,False,False,,False,,False,False,,
baseline,2,,104475000.0,142000000.0,130000000.0,22,8859,True,False,True,,True,,False,False,,
baseline,3,,104475000.0,220000000.0,240000000.0,28,8179,True,False,True,,True,,False,False,,
baseline,4,,104475000.0,125000000.0,102000000.0,48,8674,True,False,True,,False,,True,False,,
baseline,5,,104475000.0,72000000.0,84000000.0,15,10878,True,False,False,,False,,False,False,,
baseline,6,,104475000.0,286000000.0,100000.0,50,11271,False,False,True,,False,,True,False,,
baseline,7,,104475000.0,292500000.0,292500000.0,16,6697,True,False,True,,True,,False,False,,
baseline,8,,104475000.0,18500000.0,18150000.0,49,9304,True,False,False,,False,,False,False,,
baseline,9,,104475000.0,9600000.0,117000.0,25,9090,False,False,False,,False,,False,False,,
baseline,10,,104475000.0,115000000.0,115000000.0,2,8709,True,False,True,,True,,False,False,,
baseline,11,,104475000.0,220000000.0,100000.0,8,12915,False,False,True,,False,,True,False,,
baseline,12,,104475000.0,10500000.0,10500000.0,1,8200,True,False,False,,False,,False,False,,
baseline,13,,104475000.0,132000000.0,132000000.0,5,7542,True,False,True,,True,,False,False,,
baseline,14,,104475000.0,46000000.0,117000.0,24,10504,False,False,False,,False,,False,False,,
baseline,15,,104475000.0,133000000.0,30000000.0,32,9000,True,False,True,,False,,True,False,,
baseline,16,,104475000.0,288000000.0,234000000.0,37,11619,True,False,True,,True,,False,False,,
baseline,17,,104475000.0,155000000.0,180750000.0,22,11999,True,False,True,,True,,False,False,,
baseline,18,,104475000.0,112000000.0,115000000.0,5,10724,True,False,True,,True,,False,False,,
baseline,19,,104475000.0,40000000.0,40000000.0,10,8380,True,False,False,,False,,False,False,,
baseline,20,,104475000.0,252000000.0,210000000.0,24,6449,True,False,True,,True,,False,False,,
baseline,21,,104475000.0,27500000.0,28600000.0,6,2389,True,False,False,,False,,False,False,,
baseline,22,,104475000.0,28750000.0,34500000.0,42,11049,True,False,False,,False,,False,False,,
baseline,23,,104475000.0,128000000.0,138000000.0,28,8968,True,False,True,,True,,False,False,,
baseline,24,,104475000.0,39140000.0,47250000.0,28,7581,True,False,False,,False,,False,False,,
baseline,25,,104475000.0,165000000.0,154000000.0,26,9439,True,False,True,,True,,False,False,,
baseline,26,,104475000.0,255000000.0,237500000.0,31,9950,True,False,True,,True,,False,False,,
baseline,27,,104475000.0,155000000.0,180000000.0,36,9517,True,False,True,,True,,False,False,,
baseline,28,,104475000.0,38000000.0,35100000.0,26,10317,True,False,False,,False,,False,False,,
baseline,29,,104475000.0,115000000.0,100000000.0,16,8373,True,False,True,,False,,True,False,,
baseline,30,,104475000.0,70000000.0,70000000.0,1,11649,True,False,False,,False,,False,False,,
baseline,31,,104475000.0,117500000.0,115000000.0,37,8971,True,False,True,,True,,False,False,,
baseline,32,,104475000.0,250000000.0,250000000.0,24,8887,True,False,True,,True,,False,False,,
baseline,33,,104475000.0,144000000.0,90000.0,8,7209,False,False,True,,False,,True,False,,
baseline,34,,104475000.0,180000000.0,172500000.0,11,10844,True,False,True,,True,,False,False,,
baseline,35,,104475000.0,126500000.0,147900000.0,42,9742,True,False,True,,True,,False,False,,
baseline,36,,104475000.0,165000000.0,20000000.0,32,7502,True,False,True,,False,,True,False,,
baseline,37,,104475000.0,9600000.0,101000.0,15,11464,False,False,False,,False,,False,False,,
baseline,38,,104475000.0,14000000.0,30000000.0,46,9999,False,False,False,,False,,False,False,,
baseline,39,,104475000.0,13176000.0,14040000.0,40,8030,False,False,False,,False,,False,False,,
baseline,40,,104475000.0,440000000.0,550000000.0,15,4707,True,False,True,,True,,False,False,,
baseline,41,,104475000.0,268000000.0,117000.0,6,10527,False,False,True,,False,,True,False,,
baseline,42,,104475000.0,64900000.0,64625000.0,29,8797,True,False,False,,False,,False,False,,
baseline,43,,104475000.0,198000000.0,100000.0,15,9794,False,False,True,,False,,True,False,,
baseline,44,,104475000.0,108000000.0,106200000.0,3,12194,True,False,True,,True,,False,False,,
baseline,45,,104475000.0,250000000.0,250000000.0,4,12610,True,False,True,,True,,False,False,,
baseline,46,,104475000.0,120000000.0,100000.0,11,11566,False,False,True,,False,,True,False,,
baseline,47,,104475000.0,206250000.0,117000000.0,4,13394,True,False,True,,True,,False,False,,
baseline,48,,104475000.0,230000000.0,300000000.0,21,6776,True,False,True,,True,,False,False,,
baseline,49,,104475000.0,145500000.0,107000.0,27,9718,False,False,True,,False,,True,False,,
baseline,50,,104475000.0,60435000.0,77025000.0,16,11160,True,False,False,,False,,False,False,,
baseline,51,,104475000.0,69000000.0,7605000.0,18,7021,False,False,False,,False,,False,False,,
baseline,52,,104475000.0,17550000.0,120000.0,3,12318,False,False,False,,False,,False,False,,
baseline,53,,104475000.0,142000000.0,172500000.0,36,11858,True,False,True,,True,,False,False,,
baseline,54,,104475000.0,207000000.0,115000.0,32,8620,False,False,True,,False,,True,False,,
baseline,55,,104475000.0,27500000.0,28750000.0,36,8055,True,False,False,,False,,False,False,,
baseline,56,,104475000.0,85000000.0,117000.0,79,10462,False,False,False,,False,,False,False,,
baseline,57,,104475000.0,56000000.0,110000.0,55,10610,False,False,False,,False,,False,False,,
baseline,58,,104475000.0,41000000.0,35100000.0,11,9634,True,False,False,,False,,False,False,,
baseline,59,,104475000.0,115000000.0,100000000.0,23,7488,True,False,True,,False,,True,False,,
baseline,60,,104475000.0,39000000.0,97500.0,11,9833,False,False,False,,False,,False,False,,
baseline,61,,104475000.0,34000000.0,40000000.0,22,8858,True,False,False,,False,,False,False,,
baseline,62,,104475000.0,175500000.0,175500000.0,1,9185,True,False,True,,True,,False,False,,
baseline,63,,104475000.0,70200000.0,86250000.0,23,8128,True,False,False,,False,,False,False,,
baseline,64,,104475000.0,148750000.0,30000000.0,22,7916,True,False,True,,False,,True,False,,
baseline,65,,104475000.0,49140000.0,118000.0,48,10978,False,False,False,,False,,False,False,,
baseline,66,,104475000.0,258500000.0,110000.0,8,9280,False,False,True,,False,,True,False,,
baseline,67,,104475000.0,150000000.0,150000000.0,1,7684,True,False,True,,True,,False,False,,
baseline,68,,104475000.0,146000000.0,110000.0,13,9656,False,False,True,,False,,True,False,,
baseline,69,,104475000.0,305000000.0,366000000.0,28,11002,True,False,True,,True,,False,False,,
baseline,70,,104475000.0,91080000.0,118000.0,14,12622,False,False,False,,False,,False,False,,
baseline,71,,104475000.0,198000000.0,97500.0,31,7137,False,False,True,,False,,True,False,,
baseline,72,,104475000.0,30000000.0,120000.0,25,9779,False,False,False,,False,,False,False,,
baseline,73,,104475000.0,75000000.0,105000.0,29,9257,False,False,False,,False,,False,False,,
baseline,74,,104475000.0,32587500.0,36000000.0,29,9307,True,False,False,,False,,False,False,,
baseline,75,,104475000.0,115000000.0,115000000.0,6,9558,True,False,True,,True,,False,False,,
baseline,76,,104475000.0,3000000000.0,3000000000.0,1,7643,False,False,True,,True,,False,False,,
baseline,77,,104475000.0,35100000.0,36000000.0,28,7480,True,False,False,,False,,False,False,,
baseline,78,,104475000.0,123000000.0,145000000.0,24,8811,True,False,True,,True,,False,False,,
baseline,79,,104475000.0,185000000.0,200000000.0,24,8975,True,False,True,,True,,False,False,,
baseline,80,,104475000.0,291828000.0,317250000.0,51,9935,True,False,True,,True,,False,False,,
baseline,81,,104475000.0,55200000.0,59000000.0,17,9551,True,False,False,,False,,False,False,,
baseline,82,,104475000.0,234000000.0,292500000.0,2,11593,True,False,True,,True,,False,False,,
baseline,83,,104475000.0,238000000.0,117000.0,9,9293,False,False,True,,False,,True,False,,
baseline,84,,104475000.0,15000000.0,100000.0,24,7605,False,False,False,,False,,False,False,,
baseline,85,,104475000.0,12305000.0,12100000.0,42,9799,True,False,False,,False,,False,False,,
baseline,86,,104475000.0,55000000.0,105000.0,10,11298,False,False,False,,False,,False,False,,
baseline,87,,104475000.0,34000000.0,100000.0,10,9515,False,False,False,,False,,False,False,,
baseline,88,,104475000.0,52500000.0,50000000.0,19,11638,True,False,False,,False,,False,False,,
baseline,89,,104475000.0,100000000.0,100000000.0,12,6186,True,False,False,,False,,False,False,,
baseline,90,,104475000.0,295000000.0,28750000.0,16,12131,True,False,True,,False,,True,False,,
baseline,91,,104475000.0,164000000.0,120000000.0,30,9543,True,False,True,,True,,False,False,,
baseline,92,,104475000.0,19080000.0,20000000.0,13,8818,True,False,False,,False,,False,False,,
baseline,93,,104475000.0,150000000.0,120000.0,3,10401,False,False,True,,False,,True,False,,
baseline,94,,104475000.0,11500000.0,12350000.0,16,6777,True,False,False,,False,,False,False,,
baseline,95,,104475000.0,180000000.0,180000000.0,1,8098,True,False,True,,True,,False,False,,
baseline,96,,104475000.0,75000000.0,100000.0,13,11994,False,False,False,,False,,False,False,,
baseline,97,,104475000.0,312000000.0,341250000.0,15,6643,True,False,True,,True,,False,False,,
baseline,98,,104475000.0,117000000.0,115000000.0,15,9091,True,False,True,,True,,False,False,,
baseline,99,,104475000.0,750000000.0,750000000.0,1,9422,True,False,True,,True,,False,False,,
below_good,0,False,104475000.0,117000000.0,117000000.0,6,13267,True,False,True,bad,True,bad,False,False,False,False
below_good,1,False,104475000.0,68000000.0,35000000.0,16,10594,True,False,False,good,False,good,False,False,False,False
below_good,2,False,104475000.0,103500000.0,172500000.0,5,13998,True,False,False,good,True,bad,False,True,True,False
below_good,3,False,104475000.0,45500000.0,44100000.0,3,7972,True,False,False,good,False,good,False,False,False,False
below_good,4,False,104475000.0,104474000.0,240000000.0,7,4327,True,False,False,good,True,bad,False,True,True,False
below_good,5,False,104475000.0,99000000.0,100000000.0,3,8025,True,False,False,good,False,good,False,False,False,False
below_good,6,False,104475000.0,98500000.0,100000000.0,18,14448,True,False,False,good,False,good,False,False,False,False
below_good,7,False,104475000.0,42287500.0,44000000.0,8,7447,True,False,False,good,False,good,False,False,False,False
below_good,8,False,104475000.0,100000000.0,100000000.0,1,12462,True,False,False,good,False,good,False,False,False,False
below_good,9,False,104475000.0,102400000.0,330000000.0,16,9076,True,False,False,good,True,bad,False,True,True,False
below_good,10,False,104475000.0,99500000.0,100000000.0,2,12828,True,False,False,good,False,good,False,False,False,False
below_good,11,False,104475000.0,100000000.0,183600000.0,13,12367,True,False,False,good,True,bad,False,True,True,False
below_good,12,False,104475000.0,104474900.0,315000000.0,10,8403,True,False,False,good,True,bad,False,True,True,False
below_good,13,False,104475000.0,75000000.0,75000000.0,1,10788,True,False,False,good,False,good,False,False,False,False
below_good,14,False,104475000.0,100000000.0,117000000.0,13,11564,True,False,False,good,True,bad,False,True,True,False
below_good,15,False,104475000.0,87300000.0,47500000.0,22,8534,True,False,False,good,False,good,False,False,False,False
below_good,16,False,104475000.0,51850000.0,51250000.0,5,10068,True,False,False,good,False,good,False,False,False,False
below_good,17,False,104475000.0,97000000.0,103500000.0,3,10066,True,False,False,good,False,good,False,False,False,False
below_good,18,False,104475000.0,100000000.0,172500000.0,6,14464,True,False,False,good,True,bad,False,True,True,False
below_good,19,False,104475000.0,72500000.0,69000000.0,12,11128,True,False,False,good,False,good,False,False,False,False
below_good,20,False,104475000.0,100000000.0,100000000.0,12,17247,True,False,False,good,False,good,False,False,False,False
below_good,21,False,104475000.0,117000000.0,100000000.0,2,13698,True,False,True,bad,False,good,True,False,False,True
below_good,22,False,104475000.0,25110000.0,15730000.0,7,7608,True,False,False,good,False,good,False,False,False,False
below_good,23,False,104475000.0,81000000.0,57500000.0,40,9456,True,False,False,good,False,good,False,False,False,False
below_good,24,False,104475000.0,97500000.0,110000000.0,3,10491,True,False,False,good,True,bad,False,True,True,False
below_good,25,False,104475000.0,290000000.0,287500000.0,12,10269,True,False,True,bad,True,bad,False,False,False,False
