comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,32.0,11759.46875,11918.0,9.336938076882262,cell,,,,,,,,,,
above_good,incentive,good,55.0,11256.254545454545,11826.0,9.295023780171837,cell,,,,,,,,,,
above_good,baseline,bad,32.0,8907.15625,8838.0,9.06339987852238,cell,,,,,,,,,,
above_good,baseline,good,36.0,9393.722222222223,9303.5,9.126012816711404,cell,,,,,,,,,,
below_good,incentive,bad,35.0,12013.314285714287,12367.0,9.349740882830938,cell,,,,,,,,,,
below_good,incentive,good,56.0,10813.767857142857,10480.0,9.251299704948755,cell,,,,,,,,,,
below_good,baseline,bad,36.0,9393.722222222223,9303.5,9.126012816711404,cell,,,,,,,,,,
below_good,baseline,good,32.0,8907.15625,8838.0,9.06339987852238,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.04191429671042535,-0.06261293818902303,0.10452723489944837,-0.07482137640165898,0.26983332438474533,32.0,55.0,32.0,36.0
above_good,,,,,,,length_interaction,tokens,503.2142045454548,-486.5659722222226,989.7801767676774,-561.0065009469697,2410.5842077020197,32.0,55.0,32.0,36.0
below_good,,,,,,,length_interaction,logL,0.09844117788218298,0.06261293818902303,0.03582823969315996,-0.13993993029564217,0.2041657511257553,35.0,56.0,36.0,32.0
below_good,,,,,,,length_interaction,tokens,1199.5464285714297,486.5659722222226,712.9804563492071,-876.1599404761904,2269.329811507933,35.0,56.0,36.0,32.0
