comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,19.0,9609.842105263158,9491.0,9.152343679309693,cell,,,,,,,,,,
above_good,incentive,good,75.0,9369.293333333333,9231.0,9.13063625619506,cell,,,,,,,,,,
above_good,baseline,bad,35.0,7486.342857142857,7576.0,8.90057753785937,cell,,,,,,,,,,
above_good,baseline,good,45.0,7857.822222222222,7767.0,8.951503566271,cell,,,,,,,,,,
below_good,incentive,bad,33.0,10882.727272727272,10350.0,9.255398929455335,cell,,,,,,,,,,
below_good,incentive,good,60.0,8709.133333333333,8624.5,9.04591016570342,cell,,,,,,,,,,
below_good,baseline,bad,45.0,7857.822222222222,7767.0,8.951503566271,cell,,,,,,,,,,
below_good,baseline,good,35.0,7486.342857142857,7576.0,8.90057753785937,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.021707423114632363,-0.05092602841163085,0.07263345152626322,-0.054964812342599645,0.1970522046398748,19.0,75.0,35.0,45.0
above_good,,,,,,,length_interaction,tokens,240.5487719298253,-371.4793650793654,612.0281370091907,-497.09611445279893,1689.3812339181266,19.0,75.0,35.0,45.0
below_good,,,,,,,length_interaction,logL,0.20948876375191539,0.05092602841163085,0.15856273534028453,0.027596181808768883,0.30424469390539394,33.0,60.0,45.0,35.0
below_good,,,,,,,length_interaction,tokens,2173.593939393939,371.4793650793654,1802.1145743145735,381.5069011544017,3580.8835840548345,33.0,60.0,45.0,35.0
