group,rollout,t,K,side,move,is_last
baseline[good=above],baseline/1,0,7,good,toward_good,False
baseline[good=above],baseline/1,1,7,good,toward_good,False
baseline[good=above],baseline/1,2,7,good,toward_good,False
baseline[good=above],baseline/1,3,7,good,toward_good,False
baseline[good=above],baseline/1,4,7,good,toward_bad,False
baseline[good=above],baseline/1,5,7,good,toward_good,False
baseline[good=above],baseline/1,6,7,good,,True
baseline[good=below],baseline/1,0,7,bad,toward_bad,False
baseline[good=below],baseline/1,1,7,bad,toward_bad,False
baseline[good=below],baseline/1,2,7,bad,toward_bad,False
baseline[good=below],baseline/1,3,7,bad,toward_bad,False
baseline[good=below],baseline/1,4,7,bad,toward_good,False
baseline[good=below],baseline/1,5,7,bad,toward_bad,False
baseline[good=below],baseline/1,6,7,bad,,True
baseline[good=above],baseline/2,0,9,good,toward_good,False
baseline[good=above],baseline/2,1,9,good,toward_bad,False
baseline[good=above],baseline/2,2,9,good,toward_good,False
baseline[good=above],baseline/2,3,9,good,toward_bad,False
baseline[good=above],baseline/2,4,9,good,toward_bad,False
baseline[good=above],baseline/2,5,9,good,toward_bad,False
baseline[good=above],baseline/2,6,9,good,toward_bad,False
baseline[good=above],baseline/2,7,9,good,toward_good,False
baseline[good=above],baseline/2,8,9,good,,True
baseline[good=below],baseline/2,0,9,bad,toward_bad,False
baseline[good=below],baseline/2,1,9,bad,toward_good,False
baseline[good=below],baseline/2,2,9,bad,toward_bad,False
baseline[good=below],baseline/2,3,9,bad,toward_good,False
baseline[good=below],baseline/2,4,9,bad,toward_good,False
baseline[good=below],baseline/2,5,9,bad,toward_good,False
baseline[good=below],baseline/2,6,9,bad,toward_good,False
baseline[good=below],baseline/2,7,9,bad,toward_bad,False
baseline[good=below],baseline/2,8,9,bad,,True
baseline[good=above],baseline/3,0,5,bad,toward_good,False
baseline[good=above],baseline/3,1,5,bad,toward_bad,False
baseline[good=above],baseline/3,2,5,bad,toward_good,False
baseline[good=above],baseline/3,3,5,bad,toward_good,False
baseline[good=above],baseline/3,4,5,bad,,True
baseline[good=below],baseline/3,0,5,good,toward_bad,False
baseline[good=below],baseline/3,1,5,good,toward_good,False
baseline[good=below],baseline/3,2,5,good,toward_bad,False
baseline[good=below],baseline/3,3,5,good,toward_bad,False
baseline[good=below],baseline/3,4,5,good,,True
baseline[good=above],baseline/6,0,4,good,toward_bad,False
baseline[good=above],baseline/6,1,4,good,toward_bad,False
baseline[good=above],baseline/6,2,4,good,toward_good,False
baseline[good=above],baseline/6,3,4,good,,True
baseline[good=below],baseline/6,0,4,bad,toward_good,False
baseline[good=below],baseline/6,1,4,bad,toward_good,False
baseline[good=below],baseline/6,2,4,bad,toward_bad,False
baseline[good=below],baseline/6,3,4,bad,,True
baseline[good=above],baseline/7,0,1,good,,True
baseline[good=below],baseline/7,0,1,bad,,True
