cond,i,good_above,threshold,final,first,K,tokens,traj_ok,has_error,final_above,final_side,first_above,first_side,crossed_up,crossed_down,crossed_to_good,crossed_to_bad
baseline,0,,104475000.0,52650000.0,54000000.0,15,5248,True,False,False,,False,,False,False,,
baseline,1,,104475000.0,67860000.0,76050000.0,7,5521,True,False,False,,False,,False,False,,
baseline,2,,104475000.0,17550000.0,17250000.0,20,6916,True,False,False,,False,,False,False,,
baseline,3,,104475000.0,7450000.0,7150000.0,9,6063,False,False,False,,False,,False,False,,
baseline,4,,104475000.0,86250000.0,86250000.0,1,7419,True,False,False,,False,,False,False,,
baseline,5,,104475000.0,25350000.0,30000000.0,21,7623,True,False,False,,False,,False,False,,
baseline,6,,104475000.0,35000000.0,40000000.0,38,5570,True,False,False,,False,,False,False,,
baseline,7,,104475000.0,70200000.0,70500000.0,10,6281,True,False,False,,False,,False,False,,
baseline,8,,104475000.0,34000000.0,34000000.0,2,6305,True,False,False,,False,,False,False,,
baseline,9,,104475000.0,120000000.0,132000000.0,12,6083,True,False,True,,True,,False,False,,
baseline,10,,104475000.0,195000000.0,180000000.0,21,7563,True,False,True,,True,,False,False,,
baseline,11,,104475000.0,5875000.0,6325000.0,15,5622,False,False,False,,False,,False,False,,
baseline,12,,104475000.0,276000000.0,287500000.0,22,6711,True,False,True,,True,,False,False,,
baseline,13,,104475000.0,18400000.0,21240000.0,23,6898,True,False,False,,False,,False,False,,
baseline,14,,104475000.0,29250000.0,30000000.0,21,5955,True,False,False,,False,,False,False,,
baseline,15,,104475000.0,153400000.0,150000000.0,14,5789,True,False,True,,True,,False,False,,
baseline,16,,104475000.0,35100000.0,29250000.0,30,6978,True,False,False,,False,,False,False,,
baseline,17,,104475000.0,107000000.0,47500000.0,23,6936,True,False,True,,False,,True,False,,
baseline,18,,104475000.0,50000000.0,40000000.0,7,5247,True,False,False,,False,,False,False,,
baseline,19,,104475000.0,64000000.0,70200000.0,28,7724,True,False,False,,False,,False,False,,
baseline,20,,104475000.0,240000000.0,240000000.0,8,6120,True,False,True,,True,,False,False,,
baseline,21,,104475000.0,38500000.0,30000000.0,24,7213,True,False,False,,False,,False,False,,
