comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,49.0,8322.836734693878,8254.0,9.00093530305808,cell,,,,,,,,,,
above_good,incentive,good,42.0,8115.261904761905,8054.0,8.992866360941637,cell,,,,,,,,,,
above_good,baseline,bad,59.0,6756.8983050847455,6904.0,8.80769649200135,cell,,,,,,,,,,
above_good,baseline,good,25.0,6983.52,6572.0,8.827997533395651,cell,,,,,,,,,,
below_good,incentive,bad,21.0,9084.47619047619,9150.0,9.103837009685531,cell,,,,,,,,,,
below_good,incentive,good,70.0,7926.914285714286,7962.0,8.961457003983758,cell,,,,,,,,,,
below_good,baseline,bad,25.0,6983.52,6572.0,8.827997533395651,cell,,,,,,,,,,
below_good,baseline,good,59.0,6756.8983050847455,6904.0,8.80769649200135,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.008068942116443267,-0.020301041394301222,0.02836998351074449,-0.08945435344542858,0.145782192002556,49.0,42.0,59.0,25.0
above_good,,,,,,,length_interaction,tokens,207.574829931973,-226.62169491525492,434.1965248472279,-445.89864573965104,1352.181060820938,49.0,42.0,59.0,25.0
below_good,,,,,,,length_interaction,logL,0.14238000570177256,0.020301041394301222,0.12207896430747134,-0.0025075769340036284,0.2413969674696165,21.0,70.0,25.0,59.0
below_good,,,,,,,length_interaction,tokens,1157.5619047619048,226.62169491525492,930.9402098466499,-21.209753430185962,1868.5010383373683,21.0,70.0,25.0,59.0
