cond,i,good_above,threshold,final,first,K,tokens,traj_ok,has_error,final_above,final_side,first_above,first_side,crossed_up,crossed_down,crossed_to_good,crossed_to_bad
baseline,0,,104475000.0,245000000.0,250000000.0,7,10870,True,False,True,,True,,False,False,,
baseline,1,,104475000.0,41000000.0,30000000.0,16,9643,True,False,False,,False,,False,False,,
baseline,2,,104475000.0,402500000.0,30000000.0,17,9023,True,False,True,,False,,True,False,,
baseline,3,,104475000.0,15000000.0,12500000.0,16,6762,True,False,False,,False,,False,False,,
baseline,4,,104475000.0,242700000.0,117500.0,22,11258,False,False,True,,False,,True,False,,
baseline,5,,104475000.0,53550000.0,119000.0,4,10753,False,False,False,,False,,False,False,,
baseline,6,,104475000.0,248430000.0,250000000.0,11,10931,True,False,True,,True,,False,False,,
baseline,7,,104475000.0,138000000.0,172500000.0,34,10936,True,False,True,,True,,False,False,,
baseline,8,,104475000.0,252000000.0,100000.0,50,11580,False,False,True,,False,,True,False,,
baseline,9,,104475000.0,230000000.0,230000000.0,5,8026,True,False,True,,True,,False,False,,
baseline,10,,104475000.0,65520000.0,115000.0,21,11089,False,False,False,,False,,False,False,,
baseline,11,,104475000.0,1150000000.0,1200000000.0,30,8847,False,False,True,,True,,False,False,,
baseline,12,,104475000.0,58500000.0,58500000.0,5,13639,True,False,False,,False,,False,False,,
baseline,13,,104475000.0,157950000.0,120000.0,35,12834,False,False,True,,False,,True,False,,
baseline,14,,104475000.0,37440000.0,35400000.0,32,9243,True,False,False,,False,,False,False,,
baseline,15,,104475000.0,165750000.0,112000.0,49,10794,False,False,True,,False,,True,False,,
baseline,16,,104475000.0,385000000.0,385000000.0,47,8125,True,False,True,,True,,False,False,,
baseline,17,,104475000.0,104500000.0,105000000.0,8,16607,True,False,True,,True,,False,False,,
baseline,18,,104475000.0,234000000.0,234000000.0,1,11485,True,False,True,,True,,False,False,,
baseline,19,,104475000.0,34000000.0,46000000.0,67,13187,True,False,False,,False,,False,False,,
baseline,20,,104475000.0,156000000.0,120000.0,17,9437,False,False,True,,False,,True,False,,
baseline,21,,104475000.0,86250000.0,86250000.0,16,10129,True,False,False,,False,,False,False,,
baseline,22,,104475000.0,50317620.0,110000.0,79,14423,False,False,False,,False,,False,False,,
baseline,23,,104475000.0,117500000.0,118000000.0,12,11890,True,False,True,,True,,False,False,,
baseline,24,,104475000.0,63750000.0,115000.0,26,5893,False,False,False,,False,,False,False,,
baseline,25,,104475000.0,102000000.0,118000.0,12,11643,False,False,False,,False,,False,False,,
baseline,26,,104475000.0,156000000.0,100000.0,49,13289,False,False,True,,False,,True,False,,
baseline,27,,104475000.0,136586800.0,100000.0,23,11196,False,False,True,,False,,True,False,,
baseline,28,,104475000.0,89250000.0,97562.0,105,13524,False,False,False,,False,,False,False,,
baseline,29,,104475000.0,57500000.0,100000.0,52,10398,False,False,False,,False,,False,False,,
baseline,30,,104475000.0,24750000.0,115000.0,27,8696,False,False,False,,False,,False,False,,
baseline,31,,104475000.0,175500000.0,100000.0,34,10604,False,False,True,,False,,True,False,,
baseline,32,,104475000.0,42700000.0,46000000.0,26,11138,True,False,False,,False,,False,False,,
baseline,33,,104475000.0,221000000.0,122500.0,78,12541,False,False,True,,False,,True,False,,
baseline,34,,104475000.0,297500000.0,30000000.0,36,12295,True,False,True,,False,,True,False,,
baseline,35,,104475000.0,72500000.0,110000000.0,9,12427,True,False,False,,True,,False,True,,
baseline,36,,104475000.0,292500000.0,308000000.0,21,11644,True,False,True,,True,,False,False,,
baseline,37,,104475000.0,41750000.0,40000000.0,9,14662,True,False,False,,False,,False,False,,
baseline,38,,104475000.0,343500000.0,117000.0,19,13725,False,False,True,,False,,True,False,,
baseline,39,,104475000.0,378300000.0,100000.0,12,11906,False,False,True,,False,,True,False,,
baseline,40,,104475000.0,468000000.0,575000000.0,6,10749,True,False,True,,True,,False,False,,
baseline,41,,104475000.0,174000000.0,174000000.0,1,10447,True,False,True,,True,,False,False,,
baseline,42,,104475000.0,97750000.0,103500000.0,15,9646,True,False,False,,False,,False,False,,
baseline,43,,104475000.0,234000000.0,117000.0,23,11730,False,False,True,,False,,True,False,,
baseline,44,,104475000.0,385000000.0,341250000.0,59,17836,True,False,True,,True,,False,False,,
baseline,45,,104475000.0,160000000.0,18000000.0,6,10570,True,False,True,,False,,True,False,,
baseline,46,,104475000.0,585000000.0,600000000.0,31,10058,True,False,True,,True,,False,False,,
baseline,47,,104475000.0,46800000.0,115000.0,41,11888,False,False,False,,False,,False,False,,
baseline,48,,104475000.0,357000000.0,357000000.0,1,9784,True,False,True,,True,,False,False,,
baseline,49,,104475000.0,115000000.0,115000000.0,5,16745,True,False,True,,True,,False,False,,
baseline,50,,104475000.0,103500000.0,112500.0,12,11259,False,False,False,,False,,False,False,,
baseline,51,,104475000.0,195000000.0,195000000.0,12,14333,True,False,True,,True,,False,False,,
baseline,52,,104475000.0,68445000.0,115000.0,35,8531,False,False,False,,False,,False,False,,
baseline,53,,104475000.0,345000000.0,,0,8714,False,False,True,,,,,,,
baseline,54,,104475000.0,43500000.0,110000.0,33,13884,False,False,False,,False,,False,False,,
baseline,55,,104475000.0,159120000.0,150000000.0,17,10114,True,False,True,,True,,False,False,,
baseline,56,,104475000.0,108250000.0,100000.0,47,12470,False,False,True,,False,,True,False,,
