group,rollout,t,K,side,move,is_last
baseline[good=above],baseline/0,0,7,good,toward_bad,False
baseline[good=above],baseline/0,1,7,good,toward_good,False
baseline[good=above],baseline/0,2,7,good,toward_good,False
baseline[good=above],baseline/0,3,7,good,toward_bad,False
baseline[good=above],baseline/0,4,7,good,toward_good,False
baseline[good=above],baseline/0,5,7,good,toward_bad,False
baseline[good=above],baseline/0,6,7,good,,True
baseline[good=below],baseline/0,0,7,bad,toward_good,False
baseline[good=below],baseline/0,1,7,bad,toward_bad,False
baseline[good=below],baseline/0,2,7,bad,toward_bad,False
baseline[good=below],baseline/0,3,7,bad,toward_good,False
baseline[good=below],baseline/0,4,7,bad,toward_bad,False
baseline[good=below],baseline/0,5,7,bad,toward_good,False
baseline[good=below],baseline/0,6,7,bad,,True
baseline[good=above],baseline/1,0,16,bad,toward_good,False
baseline[good=above],baseline/1,1,16,bad,toward_good,False
baseline[good=above],baseline/1,2,16,bad,toward_good,False
baseline[good=above],baseline/1,3,16,bad,toward_good,False
baseline[good=above],baseline/1,4,16,bad,toward_bad,False
baseline[good=above],baseline/1,5,16,bad,toward_good,False
baseline[good=above],baseline/1,6,16,bad,toward_bad,False
baseline[good=above],baseline/1,7,16,bad,toward_bad,False
baseline[good=above],baseline/1,8,16,bad,toward_good,False
baseline[good=above],baseline/1,9,16,bad,toward_bad,False
baseline[good=above],baseline/1,10,16,bad,toward_good,False
baseline[good=above],baseline/1,11,16,bad,toward_bad,False
baseline[good=above],baseline/1,12,16,bad,toward_bad,False
baseline[good=above],baseline/1,13,16,bad,toward_bad,False
baseline[good=above],baseline/1,14,16,bad,toward_good,False
baseline[good=above],baseline/1,15,16,bad,,True
baseline[good=below],baseline/1,0,16,good,toward_bad,False
baseline[good=below],baseline/1,1,16,good,toward_bad,False
baseline[good=below],baseline/1,2,16,good,toward_bad,False
baseline[good=below],baseline/1,3,16,good,toward_bad,False
baseline[good=below],baseline/1,4,16,good,toward_good,False
baseline[good=below],baseline/1,5,16,good,toward_bad,False
baseline[good=below],baseline/1,6,16,good,toward_good,False
baseline[good=below],baseline/1,7,16,good,toward_good,False
baseline[good=below],baseline/1,8,16,good,toward_bad,False
baseline[good=below],baseline/1,9,16,good,toward_good,False
baseline[good=below],baseline/1,10,16,good,toward_bad,False
baseline[good=below],baseline/1,11,16,good,toward_good,False
baseline[good=below],baseline/1,12,16,good,toward_good,False
baseline[good=below],baseline/1,13,16,good,toward_good,False
baseline[good=below],baseline/1,14,16,good,toward_bad,False
baseline[good=below],baseline/1,15,16,good,,True
baseline[good=above],baseline/2,0,17,bad,toward_good,False
baseline[good=above],baseline/2,1,17,good,toward_good,False
baseline[good=above],baseline/2,2,17,good,toward_bad,False
baseline[good=above],baseline/2,3,17,good,toward_bad,False
baseline[good=above],baseline/2,4,17,good,toward_good,False
baseline[good=above],baseline/2,5,17,good,toward_bad,False
baseline[good=above],baseline/2,6,17,good,toward_bad,False
baseline[good=above],baseline/2,7,17,good,toward_good,False
baseline[good=above],baseline/2,8,17,good,toward_good,False
baseline[good=above],baseline/2,9,17,good,toward_bad,False
baseline[good=above],baseline/2,10,17,good,toward_bad,False
baseline[good=above],baseline/2,11,17,good,toward_good,False
baseline[good=above],baseline/2,12,17,good,toward_bad,False
baseline[good=above],baseline/2,13,17,good,toward_good,False
baseline[good=above],baseline/2,14,17,good,toward_good,False
baseline[good=above],baseline/2,15,17,good,toward_bad,False
baseline[good=above],baseline/2,16,17,good,,True
baseline[good=below],baseline/2,0,17,good,toward_bad,False
baseline[good=below],baseline/2,1,17,bad,toward_bad,False
baseline[good=below],baseline/2,2,17,bad,toward_good,False
baseline[good=below],baseline/2,3,17,bad,toward_good,False
baseline[good=below],baseline/2,4,17,bad,toward_bad,False
baseline[good=below],baseline/2,5,17,bad,toward_good,False
baseline[good=below],baseline/2,6,17,bad,toward_good,False
baseline[good=below],baseline/2,7,17,bad,toward_bad,False
baseline[good=below],baseline/2,8,17,bad,toward_bad,False
baseline[good=below],baseline/2,9,17,bad,toward_good,False
baseline[good=below],baseline/2,10,17,bad,toward_good,False
baseline[good=below],baseline/2,11,17,bad,toward_bad,False
baseline[good=below],baseline/2,12,17,bad,toward_good,False
baseline[good=below],baseline/2,13,17,bad,toward_bad,False
baseline[good=below],baseline/2,14,17,bad,toward_bad,False
baseline[good=below],baseline/2,15,17,bad,toward_good,False
baseline[good=below],baseline/2,16,17,bad,,True
baseline[good=above],baseline/3,0,16,bad,toward_good,False
baseline[good=above],baseline/3,1,16,bad,toward_bad,False
baseline[good=above],baseline/3,2,16,bad,toward_good,False
baseline[good=above],baseline/3,3,16,bad,toward_good,False
baseline[good=above],baseline/3,4,16,bad,toward_good,False
baseline[good=above],baseline/3,5,16,bad,toward_good,False
baseline[good=above],baseline/3,6,16,bad,toward_bad,False
baseline[good=above],baseline/3,7,16,bad,toward_bad,False
baseline[good=above],baseline/3,8,16,bad,toward_good,False
baseline[good=above],baseline/3,9,16,bad,toward_bad,False
baseline[good=above],baseline/3,10,16,bad,toward_good,False
baseline[good=above],baseline/3,11,16,bad,toward_good,False
baseline[good=above],baseline/3,12,16,bad,toward_good,False
baseline[good=above],baseline/3,13,16,bad,toward_bad,False
baseline[good=above],baseline/3,14,16,bad,toward_good,False
baseline[good=above],baseline/3,15,16,bad,,True
baseline[good=below],baseline/3,0,16,good,toward_bad,False
baseline[good=below],baseline/3,1,16,good,toward_good,False
baseline[good=below],baseline/3,2,16,good,toward_bad,False
baseline[good=below],baseline/3,3,16,good,toward_bad,False
baseline[good=below],baseline/3,4,16,good,toward_bad,False
baseline[good=below],baseline/3,5,16,good,toward_bad,False
baseline[good=below],baseline/3,6,16,good,toward_good,False
baseline[good=below],baseline/3,7,16,good,toward_good,False
baseline[good=below],baseline/3,8,16,good,toward_bad,False
baseline[good=below],baseline/3,9,16,good,toward_good,False
baseline[good=below],baseline/3,10,16,good,toward_bad,False
baseline[good=below],baseline/3,11,16,good,toward_bad,False
baseline[good=below],baseline/3,12,16,good,toward_bad,False
baseline[good=below],baseline/3,13,16,good,toward_good,False
baseline[good=below],baseline/3,14,16,good,toward_bad,False
baseline[good=below],baseline/3,15,16,good,,True
baseline[good=above],baseline/6,0,11,good,toward_bad,False
baseline[good=above],baseline/6,1,11,good,toward_good,False
baseline[good=above],baseline/6,2,11,good,toward_bad,False
baseline[good=above],baseline/6,3,11,good,toward_good,False
baseline[good=above],baseline/6,4,11,good,toward_bad,False
baseline[good=above],baseline/6,5,11,good,toward_good,False
baseline[good=above],baseline/6,6,11,good,toward_good,False
baseline[good=above],baseline/6,7,11,good,toward_bad,False
baseline[good=above],baseline/6,8,11,good,toward_good,False
baseline[good=above],baseline/6,9,11,good,toward_bad,False
baseline[good=above],baseline/6,10,11,good,,True
baseline[good=below],baseline/6,0,11,bad,toward_good,False
baseline[good=below],baseline/6,1,11,bad,toward_bad,False
baseline[good=below],baseline/6,2,11,bad,toward_good,False
baseline[good=below],baseline/6,3,11,bad,toward_bad,False
baseline[good=below],baseline/6,4,11,bad,toward_good,False
baseline[good=below],baseline/6,5,11,bad,toward_bad,False
baseline[good=below],baseline/6,6,11,bad,toward_bad,False
baseline[good=below],baseline/6,7,11,bad,toward_good,False
baseline[good=below],baseline/6,8,11,bad,toward_bad,False
baseline[good=below],baseline/6,9,11,bad,toward_good,False
baseline[good=below],baseline/6,10,11,bad,,True
baseline[good=above],baseline/7,0,34,good,toward_good,False
baseline[good=above],baseline/7,1,34,good,toward_bad,False
baseline[good=above],baseline/7,2,34,good,toward_bad,False
baseline[good=above],baseline/7,3,34,bad,toward_good,False
baseline[good=above],baseline/7,4,34,good,toward_bad,False
baseline[good=above],baseline/7,5,34,good,toward_good,False
baseline[good=above],baseline/7,6,34,good,toward_bad,False
baseline[good=above],baseline/7,7,34,good,toward_bad,False
baseline[good=above],baseline/7,8,34,good,toward_good,False
baseline[good=above],baseline/7,9,34,good,toward_bad,False
baseline[good=above],baseline/7,10,34,good,toward_bad,False
baseline[good=above],baseline/7,11,34,good,toward_good,False
baseline[good=above],baseline/7,12,34,good,toward_good,False
baseline[good=above],baseline/7,13,34,good,toward_good,False
baseline[good=above],baseline/7,14,34,good,toward_bad,False
baseline[good=above],baseline/7,15,34,good,toward_bad,False
baseline[good=above],baseline/7,16,34,good,toward_good,False
baseline[good=above],baseline/7,17,34,good,toward_good,False
baseline[good=above],baseline/7,18,34,good,toward_good,False
baseline[good=above],baseline/7,19,34,good,toward_good,False
baseline[good=above],baseline/7,20,34,good,toward_bad,False
baseline[good=above],baseline/7,21,34,good,toward_good,False
baseline[good=above],baseline/7,22,34,good,toward_bad,False
