comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,13.0,22096.69230769231,21855.0,9.96754424731878,cell,,,,,,,,,,
above_good,incentive,good,45.0,21807.0,21875.0,9.914705764414515,cell,,,,,,,,,,
above_good,baseline,bad,14.0,21941.285714285714,21934.0,9.978490222539884,cell,,,,,,,,,,
above_good,baseline,good,35.0,20301.742857142857,21503.0,9.881826019502656,cell,,,,,,,,,,
below_good,incentive,bad,17.0,18658.941176470587,22139.0,9.740283642578676,cell,,,,,,,,,,
below_good,incentive,good,34.0,21768.558823529413,22601.0,9.944963405162165,cell,,,,,,,,,,
below_good,baseline,bad,35.0,20301.742857142857,21503.0,9.881826019502656,cell,,,,,,,,,,
below_good,baseline,good,14.0,21941.285714285714,21934.0,9.978490222539884,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.052838482904265405,0.09666420303722845,-0.04382572013296304,-0.2884690122661587,0.18682098425693872,13.0,45.0,14.0,35.0
above_good,,,,,,,length_interaction,tokens,289.69230769230853,1639.5428571428565,-1349.850549450548,-6126.369462759462,3148.262387057387,13.0,45.0,14.0,35.0
below_good,,,,,,,length_interaction,logL,-0.2046797625834884,-0.09666420303722845,-0.10801555954625996,-0.4001497149779424,0.16092686857388291,17.0,34.0,35.0,14.0
below_good,,,,,,,length_interaction,tokens,-3109.6176470588252,-1639.5428571428565,-1470.0747899159687,-6294.468571428569,3036.5788445378107,17.0,34.0,35.0,14.0
