cond,i,good_above,threshold,final,first,K,tokens,traj_ok,has_error,final_above,final_side,first_above,first_side,crossed_up,crossed_down,crossed_to_good,crossed_to_bad
baseline,0,,104475000.0,180000000.0,180000000.0,1,5588,True,False,True,,True,,False,False,,
baseline,1,,104475000.0,80000000.0,80000000.0,2,8921,True,False,False,,False,,False,False,,
baseline,2,,104475000.0,50000000.0,100000.0,6,8648,False,False,False,,False,,False,False,,
baseline,3,,104475000.0,180000000.0,117000.0,6,5771,False,False,True,,False,,True,False,,
baseline,4,,104475000.0,14520000.0,16200000.0,19,7610,True,False,False,,False,,False,False,,
baseline,5,,104475000.0,32500000.0,36000000.0,32,8150,True,False,False,,False,,False,False,,
baseline,6,,104475000.0,175000000.0,97000.0,30,6199,False,False,True,,False,,True,False,,
baseline,7,,104475000.0,25300000.0,23400000.0,29,5305,True,False,False,,False,,False,False,,
baseline,8,,104475000.0,44600000.0,46800000.0,3,8871,True,False,False,,False,,False,False,,
baseline,9,,104475000.0,180000000.0,180000000.0,1,5956,True,False,True,,True,,False,False,,
baseline,10,,104475000.0,36000000.0,36000000.0,1,8110,True,False,False,,False,,False,False,,
baseline,11,,104475000.0,35850000.0,29250000.0,10,6149,True,False,False,,False,,False,False,,
baseline,12,,104475000.0,300000000.0,345000000.0,18,9074,True,False,True,,True,,False,False,,
baseline,13,,104475000.0,9360000.0,9360000.0,1,7595,False,False,False,,False,,False,False,,
baseline,14,,104475000.0,83000000.0,105000.0,25,8741,False,False,False,,False,,False,False,,
baseline,15,,104475000.0,210600000.0,210600000.0,1,6988,True,False,True,,True,,False,False,,
baseline,16,,104475000.0,42000000.0,42700000.0,3,6524,True,False,False,,False,,False,False,,
baseline,17,,104475000.0,35100000.0,103500000.0,32,8019,True,False,False,,False,,False,False,,
baseline,18,,104475000.0,30000000.0,100000.0,16,9636,False,False,False,,False,,False,False,,
baseline,19,,104475000.0,415000000.0,125000.0,23,5936,False,False,True,,False,,True,False,,
baseline,20,,104475000.0,58000000.0,59000000.0,10,7675,True,False,False,,False,,False,False,,
baseline,21,,104475000.0,120000000.0,120000000.0,4,4989,True,False,True,,True,,False,False,,
baseline,22,,104475000.0,178000000.0,181500000.0,11,8314,True,False,True,,True,,False,False,,
baseline,23,,104475000.0,110000000.0,118000.0,5,8857,False,False,True,,False,,True,False,,
baseline,24,,104475000.0,195500000.0,172500000.0,13,5747,True,False,True,,True,,False,False,,
baseline,25,,104475000.0,70500000.0,120000000.0,21,7897,True,False,False,,True,,False,True,,
baseline,26,,104475000.0,345000000.0,345000000.0,1,7442,True,False,True,,True,,False,False,,
baseline,27,,104475000.0,27600000.0,2925000.0,18,7641,False,False,False,,False,,False,False,,
baseline,28,,104475000.0,40000000.0,40250000.0,29,7192,True,False,False,,False,,False,False,,
baseline,29,,104475000.0,130000000.0,110000000.0,18,7473,True,False,True,,True,,False,False,,
baseline,30,,104475000.0,92000000.0,75000000.0,17,7250,True,False,False,,False,,False,False,,
baseline,31,,104475000.0,30000000.0,30000000.0,1,6495,True,False,False,,False,,False,False,,
baseline,32,,104475000.0,36270000.0,110000.0,23,9230,False,False,False,,False,,False,False,,
baseline,33,,104475000.0,36800000.0,44000000.0,32,8566,True,False,False,,False,,False,False,,
baseline,34,,104475000.0,58500000.0,58500000.0,6,6353,True,False,False,,False,,False,False,,
baseline,35,,104475000.0,29250000.0,119000.0,21,6467,False,False,False,,False,,False,False,,
baseline,36,,104475000.0,95000000.0,100000000.0,9,7090,True,False,False,,False,,False,False,,
baseline,37,,104475000.0,52650000.0,117000.0,35,9328,False,False,False,,False,,False,False,,
baseline,38,,104475000.0,64350000.0,117000.0,19,7420,False,False,False,,False,,False,False,,
baseline,39,,104475000.0,230000000.0,230000000.0,18,7046,True,False,True,,True,,False,False,,
baseline,40,,104475000.0,26400000.0,120000.0,12,10017,False,False,False,,False,,False,False,,
baseline,41,,104475000.0,26000000.0,30000000.0,6,8194,True,False,False,,False,,False,False,,
baseline,42,,104475000.0,240000000.0,180000000.0,8,8665,True,False,True,,True,,False,False,,
baseline,43,,104475000.0,35000000.0,40000000.0,26,6906,True,False,False,,False,,False,False,,
baseline,44,,104475000.0,120000000.0,108900000.0,24,8630,True,False,True,,True,,False,False,,
baseline,45,,104475000.0,24750000.0,24375000.0,6,7099,True,False,False,,False,,False,False,,
baseline,46,,104475000.0,240000000.0,351000000.0,14,8486,True,False,True,,True,,False,False,,
baseline,47,,104475000.0,121000000.0,103500000.0,7,6253,True,False,True,,False,,True,False,,
baseline,48,,104475000.0,18000000.0,18000000.0,1,7674,True,False,False,,False,,False,False,,
baseline,49,,104475000.0,1230000000.0,1230000000.0,4,7964,False,False,True,,True,,False,False,,
baseline,50,,104475000.0,32500000.0,30000000.0,20,8287,True,False,False,,False,,False,False,,
baseline,51,,104475000.0,10115000.0,12000000.0,13,9115,False,False,False,,False,,False,False,,
baseline,52,,104475000.0,16100000.0,20000000.0,24,7125,True,False,False,,False,,False,False,,
baseline,53,,104475000.0,42120000.0,119000.0,8,7747,False,False,False,,False,,False,False,,
baseline,54,,104475000.0,58500000.0,58500000.0,29,7735,True,False,False,,False,,False,False,,
baseline,55,,104475000.0,22000000.0,23000000.0,8,11747,True,False,False,,False,,False,False,,
baseline,56,,104475000.0,292500000.0,287500000.0,10,7435,True,False,True,,True,,False,False,,
baseline,57,,104475000.0,120000000.0,113000.0,12,7097,False,False,True,,False,,True,False,,
baseline,58,,104475000.0,38400000.0,35100000.0,3,7890,True,False,False,,False,,False,False,,
baseline,59,,104475000.0,38481000.0,35250000.0,11,7238,True,False,False,,False,,False,False,,
baseline,60,,104475000.0,30492000.0,31040000.0,11,8764,True,False,False,,False,,False,False,,
baseline,61,,104475000.0,29250000.0,29250000.0,1,7794,True,False,False,,False,,False,False,,
baseline,62,,104475000.0,11500000.0,11500000.0,1,8079,True,False,False,,False,,False,False,,
baseline,63,,104475000.0,129000000.0,120000000.0,11,10635,True,False,True,,True,,False,False,,
baseline,64,,104475000.0,47500000.0,99000.0,17,5912,False,False,False,,False,,False,False,,
baseline,65,,104475000.0,19000000.0,117000.0,18,6128,False,False,False,,False,,False,False,,
baseline,66,,104475000.0,300000000.0,345000000.0,22,7421,True,False,True,,True,,False,False,,
baseline,67,,104475000.0,176000000.0,175500000.0,6,9022,True,False,True,,True,,False,False,,
baseline,68,,104475000.0,58500000.0,58500000.0,1,8946,True,False,False,,False,,False,False,,
baseline,69,,104475000.0,119500000.0,102000000.0,7,7859,True,False,True,,False,,True,False,,
baseline,70,,104475000.0,119000000.0,120000000.0,7,9480,True,False,True,,True,,False,False,,
baseline,71,,104475000.0,20000000.0,25000000.0,10,9334,True,False,False,,False,,False,False,,
baseline,72,,104475000.0,65000000.0,,0,9269,False,False,False,,,,,,,
baseline,73,,104475000.0,175500000.0,172500000.0,4,6726,True,False,True,,True,,False,False,,
baseline,74,,104475000.0,180000000.0,125000.0,2,8689,False,False,True,,False,,True,False,,
baseline,75,,104475000.0,14875000.0,15400000.0,27,6321,True,False,False,,False,,False,False,,
baseline,76,,104475000.0,27500000.0,27500000.0,1,10772,True,False,False,,False,,False,False,,
baseline,77,,104475000.0,48000000.0,46200000.0,19,6442,True,False,False,,False,,False,False,,
baseline,78,,104475000.0,300000000.0,123000.0,10,9030,False,False,True,,False,,True,False,,
baseline,79,,104475000.0,40000000.0,44000000.0,11,8020,True,False,False,,False,,False,False,,
baseline,80,,104475000.0,168000000.0,118000.0,9,8835,False,False,True,,False,,True,False,,
baseline,81,,104475000.0,175500000.0,210600000.0,5,7442,True,False,True,,True,,False,False,,
baseline,82,,104475000.0,20475000.0,20475000.0,1,7990,True,False,False,,False,,False,False,,
baseline,83,,104475000.0,150000000.0,144000000.0,19,7048,True,False,True,,True,,False,False,,
baseline,84,,104475000.0,10413000.0,11700000.0,9,8531,False,False,False,,False,,False,False,,
baseline,85,,104475000.0,30000000.0,50000000.0,27,7742,True,False,False,,False,,False,False,,
baseline,86,,104475000.0,148750000.0,163800000.0,16,6461,True,False,True,,True,,False,False,,
baseline,87,,104475000.0,175500000.0,180000000.0,4,8219,True,False,True,,True,,False,False,,
baseline,88,,104475000.0,40000000.0,117000.0,16,8128,False,False,False,,False,,False,False,,
baseline,89,,104475000.0,13500000.0,14880000.0,35,8207,True,False,False,,False,,False,False,,
baseline,90,,104475000.0,23800000.0,23800000.0,6,5400,True,False,False,,False,,False,False,,
baseline,91,,104475000.0,46000000.0,46000000.0,1,6154,True,False,False,,False,,False,False,,
baseline,92,,104475000.0,46800000.0,46000000.0,23,7312,True,False,False,,False,,False,False,,
baseline,93,,104475000.0,150000000.0,150000000.0,1,6510,True,False,True,,True,,False,False,,
baseline,94,,104475000.0,345000000.0,110000.0,9,6301,False,False,True,,False,,True,False,,
baseline,95,,104475000.0,175000000.0,207000000.0,15,8007,True,False,True,,True,,False,False,,
baseline,96,,104475000.0,35100000.0,35100000.0,1,8804,True,False,False,,False,,False,False,,
baseline,97,,104475000.0,9500000.0,100000.0,23,8794,False,False,False,,False,,False,False,,
baseline,98,,104475000.0,30250000.0,33275000.0,10,5718,True,False,False,,False,,False,False,,
baseline,99,,104475000.0,28560000.0,29250000.0,5,6786,True,False,False,,False,,False,False,,
below_good,0,False,104475000.0,103500000.0,103500000.0,1,9234,True,False,False,good,False,good,False,False,False,False
below_good,1,False,104475000.0,76000000.0,35100000.0,29,8547,True,False,False,good,False,good,False,False,False,False
below_good,2,False,104475000.0,75000000.0,61200000.0,28,8241,True,False,False,good,False,good,False,False,False,False
below_good,3,False,104475000.0,99450000.0,81900000.0,17,8418,True,False,False,good,False,good,False,False,False,False
below_good,4,False,104475000.0,35700000.0,35700000.0,1,6542,True,False,False,good,False,good,False,False,False,False
below_good,5,False,104475000.0,23000000.0,17250000.0,23,6960,True,False,False,good,False,good,False,False,False,False
below_good,6,False,104475000.0,117000000.0,117000000.0,4,11537,True,False,True,bad,True,bad,False,False,False,False
below_good,7,False,104475000.0,100000000.0,500000000.0,10,10354,True,False,False,good,True,bad,False,True,True,False
below_good,8,False,104475000.0,96300000.0,110000000.0,5,10733,True,False,False,good,True,bad,False,True,True,False
below_good,9,False,104475000.0,35100000.0,17550000.0,20,6995,True,False,False,good,False,good,False,False,False,False
below_good,10,False,104475000.0,58500000.0,52650000.0,4,8552,True,False,False,good,False,good,False,False,False,False
below_good,11,False,104475000.0,58200000.0,60000000.0,4,6008,True,False,False,good,False,good,False,False,False,False
