comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,57.0,8289.59649122807,8301.0,8.990234478840119,cell,,,,,,,,,,
above_good,incentive,good,35.0,7910.628571428571,7825.0,8.970809199073688,cell,,,,,,,,,,
above_good,baseline,bad,56.0,6316.678571428572,6258.5,8.736258472078424,cell,,,,,,,,,,
above_good,baseline,good,21.0,6784.0,6385.0,8.80392859657897,cell,,,,,,,,,,
below_good,incentive,bad,12.0,10222.25,7677.5,9.123283150278573,cell,,,,,,,,,,
below_good,incentive,good,76.0,7040.539473684211,6962.5,8.818751835784902,cell,,,,,,,,,,
below_good,baseline,bad,21.0,6784.0,6385.0,8.80392859657897,cell,,,,,,,,,,
below_good,baseline,good,56.0,6316.678571428572,6258.5,8.736258472078424,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.019425279766430492,-0.06767012450054644,0.08709540426697693,-0.03466687072318333,0.21529450237270928,57.0,35.0,56.0,21.0
above_good,,,,,,,length_interaction,tokens,378.9679197994992,-467.32142857142844,846.2893483709277,45.400126879700025,1738.9080811403505,57.0,35.0,56.0,21.0
below_good,,,,,,,length_interaction,logL,0.304531314493671,0.06767012450054644,0.23686118999312455,0.010683598184930698,0.5117195614907719,12.0,76.0,21.0,56.0
below_good,,,,,,,length_interaction,tokens,3181.710526315789,467.32142857142844,2714.3890977443607,7.713925438596318,6989.214458020049,12.0,76.0,21.0,56.0
