comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,54.0,7861.518518518518,7807.0,8.960936905627383,cell,,,,,,,,,,
above_good,incentive,good,36.0,8658.361111111111,8514.5,9.055186946252265,cell,,,,,,,,,,
above_good,baseline,bad,40.0,8870.175,8777.0,9.083602621648078,cell,,,,,,,,,,
above_good,baseline,good,28.0,8954.67857142857,8689.0,9.068729156764569,cell,,,,,,,,,,
below_good,incentive,bad,45.0,8120.866666666667,8091.0,8.977874497825573,cell,,,,,,,,,,
below_good,incentive,good,42.0,7947.809523809524,7772.5,8.968407398295742,cell,,,,,,,,,,
below_good,baseline,bad,28.0,8954.67857142857,8689.0,9.068729156764569,cell,,,,,,,,,,
below_good,baseline,good,40.0,8870.175,8777.0,9.083602621648078,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,-0.09425004062488185,0.014873464883509158,-0.109123505508391,-0.23855611608245053,0.012488616495106112,54.0,36.0,40.0,28.0
above_good,,,,,,,length_interaction,tokens,-796.8425925925931,-84.50357142857138,-712.3390211640217,-1704.542576058202,276.1016567460304,54.0,36.0,40.0,28.0
below_good,,,,,,,length_interaction,logL,0.009467099529830492,-0.014873464883509158,0.02434056441333965,-0.1123963191930939,0.1689788637645097,45.0,42.0,28.0,40.0
below_good,,,,,,,length_interaction,tokens,173.05714285714294,84.50357142857138,88.55357142857156,-935.7646031746032,1130.5060615079353,45.0,42.0,28.0,40.0
