comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,36.0,10354.222222222223,10429.5,9.231591743953501,cell,,,,,,,,,,
above_good,incentive,good,50.0,10154.94,10241.0,9.211371496894555,cell,,,,,,,,,,
above_good,baseline,bad,40.0,8870.175,8777.0,9.083602621648078,cell,,,,,,,,,,
above_good,baseline,good,28.0,8954.67857142857,8689.0,9.068729156764569,cell,,,,,,,,,,
below_good,incentive,bad,49.0,10208.673469387755,10139.0,9.214455609813637,cell,,,,,,,,,,
below_good,incentive,good,48.0,9726.958333333334,9958.0,9.159948509770425,cell,,,,,,,,,,
below_good,baseline,bad,28.0,8954.67857142857,8689.0,9.068729156764569,cell,,,,,,,,,,
below_good,baseline,good,40.0,8870.175,8777.0,9.083602621648078,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.020220247058945873,0.014873464883509158,0.005346782175436715,-0.1310717185498837,0.12478821980719847,36.0,50.0,40.0,28.0
above_good,,,,,,,length_interaction,tokens,199.28222222222212,-84.50357142857138,283.7857936507935,-788.7767043650797,1310.8495674603155,36.0,50.0,40.0,28.0
below_good,,,,,,,length_interaction,logL,0.05450710004321202,-0.014873464883509158,0.06938056492672118,-0.060160965658509896,0.21086420824532487,49.0,48.0,28.0,40.0
below_good,,,,,,,length_interaction,tokens,481.71513605442124,84.50357142857138,397.21156462584986,-707.4841326530608,1485.7422470238075,49.0,48.0,28.0,40.0
