group,side,metric,p,k,n_steps,n_rollouts,ci_lo,ci_hi
above_good,bad,P(toward_good | on bad side),0.6926829268292682,284.0,410.0,39.0,0.6372093816944596,0.7642953685348711
above_good,good,P(toward_bad | on good side),0.5507649513212796,396.0,719.0,52.0,0.5083277377308186,0.602223930990864
baseline[good=above],bad,P(toward_good | on bad side),0.5134615384615384,267.0,520.0,38.0,0.4797717901815899,0.5509721121458292
baseline[good=above],good,P(toward_bad | on good side),0.4811320754716981,204.0,424.0,33.0,0.4543651845008802,0.5161378943637008
baseline[good=below],bad,P(toward_good | on bad side),0.4811320754716981,204.0,424.0,33.0,0.4543651845008802,0.5161378943637008
baseline[good=below],good,P(toward_bad | on good side),0.5134615384615384,267.0,520.0,38.0,0.4797717901815899,0.5509721121458292
below_good,bad,P(toward_good | on bad side),0.6077097505668935,268.0,441.0,51.0,0.5561187388428017,0.6730368096251228
below_good,good,P(toward_bad | on good side),0.6022222222222222,271.0,450.0,49.0,0.5659141921324776,0.642862201537839
above_good,both,asymmetry: P(toward good|bad) - P(toward bad|good),0.14191797550798868,,,,,
baseline[good=above],both,asymmetry: P(toward good|bad) - P(toward bad|good),0.032329462989840296,,,,,
baseline[good=below],both,asymmetry: P(toward good|bad) - P(toward bad|good),-0.032329462989840296,,,,,
below_good,both,asymmetry: P(toward good|bad) - P(toward bad|good),0.005487528344671255,,,,,
