comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,34.0,10688.85294117647,10778.0,9.263354861215756,cell,,,,,,,,,,
above_good,incentive,good,56.0,10072.75,9789.5,9.198103788293997,cell,,,,,,,,,,
above_good,baseline,bad,40.0,8870.175,8777.0,9.083602621648078,cell,,,,,,,,,,
above_good,baseline,good,28.0,8954.67857142857,8689.0,9.068729156764569,cell,,,,,,,,,,
below_good,incentive,bad,36.0,10932.027777777777,10963.5,9.280281070172213,cell,,,,,,,,,,
below_good,incentive,good,54.0,10111.12962962963,9906.5,9.177407896287251,cell,,,,,,,,,,
below_good,baseline,bad,28.0,8954.67857142857,8689.0,9.068729156764569,cell,,,,,,,,,,
below_good,baseline,good,40.0,8870.175,8777.0,9.083602621648078,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.06525107292175925,0.014873464883509158,0.05037760803825009,-0.09151062715906884,0.18251945805016795,34.0,56.0,40.0,28.0
above_good,,,,,,,length_interaction,tokens,616.1029411764703,-84.50357142857138,700.6065126050416,-424.6129359243699,1817.202048319329,34.0,56.0,40.0,28.0
below_good,,,,,,,length_interaction,logL,0.1028731738849622,-0.014873464883509158,0.11774663876847136,-0.03329795355791671,0.28404062423902776,36.0,54.0,28.0,40.0
below_good,,,,,,,length_interaction,tokens,820.8981481481478,84.50357142857138,736.3945767195764,-484.46726521164146,1980.2996031746038,36.0,54.0,28.0,40.0
