comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,24.0,11557.875,11458.5,9.331478151762061,cell,,,,,,,,,,
above_good,incentive,good,67.0,10006.567164179105,9784.0,9.190562796445393,cell,,,,,,,,,,
above_good,baseline,bad,40.0,8870.175,8777.0,9.083602621648078,cell,,,,,,,,,,
above_good,baseline,good,28.0,8954.67857142857,8689.0,9.068729156764569,cell,,,,,,,,,,
below_good,incentive,bad,37.0,11416.054054054053,11393.0,9.320904756391291,cell,,,,,,,,,,
below_good,incentive,good,55.0,9375.363636363636,9298.0,9.128987652824112,cell,,,,,,,,,,
below_good,baseline,bad,28.0,8954.67857142857,8689.0,9.068729156764569,cell,,,,,,,,,,
below_good,baseline,good,40.0,8870.175,8777.0,9.083602621648078,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.1409153553166682,0.014873464883509158,0.12604189043315905,-0.032765289017615905,0.2678139552058896,24.0,67.0,40.0,28.0
above_good,,,,,,,length_interaction,tokens,1551.307835820895,-84.50357142857138,1635.8114072494664,305.04793310234777,2938.4343958777513,24.0,67.0,40.0,28.0
below_good,,,,,,,length_interaction,logL,0.19191710356717984,-0.014873464883509158,0.206790568450689,0.07837690551367285,0.34102005625064585,37.0,55.0,28.0,40.0
below_good,,,,,,,length_interaction,tokens,2040.6904176904172,84.50357142857138,1956.1868462618459,820.6349045717786,3123.3091729554235,37.0,55.0,28.0,40.0
