group,side,metric,p,k,n_steps,ci_lo,ci_hi
above_good,good,hazard P(stop | side),0.19082125603864733,79.0,414.0,0.152797267424927,0.2476489028213166
above_good,good,"hazard P(stop | side), K>=2",0.12532637075718014,48.0,383.0,,
above_good,bad,hazard P(stop | side),0.05687203791469194,12.0,211.0,0.035209580164694235,0.08955223880597014
above_good,bad,"hazard P(stop | side), K>=2",0.03864734299516908,8.0,207.0,,
baseline[good=above],good,hazard P(stop | side),0.06607929515418502,30.0,454.0,0.049807199129167354,0.08943154367645913
baseline[good=above],good,"hazard P(stop | side), K>=2",0.0598669623059867,27.0,451.0,,
baseline[good=above],bad,hazard P(stop | side),0.06810035842293907,38.0,558.0,0.05512986699786569,0.08893849029957276
baseline[good=above],bad,"hazard P(stop | side), K>=2",0.059674502712477394,33.0,553.0,,
baseline[good=below],good,hazard P(stop | side),0.06810035842293907,38.0,558.0,0.05512986699786569,0.08893849029957276
baseline[good=below],good,"hazard P(stop | side), K>=2",0.059674502712477394,33.0,553.0,,
baseline[good=below],bad,hazard P(stop | side),0.06607929515418502,30.0,454.0,0.049807199129167354,0.08943154367645913
baseline[good=below],bad,"hazard P(stop | side), K>=2",0.0598669623059867,27.0,451.0,,
below_good,good,hazard P(stop | side),0.15610859728506787,69.0,442.0,0.11916887134537524,0.2132287948325684
below_good,good,"hazard P(stop | side), K>=2",0.10551558752997602,44.0,417.0,,
below_good,bad,hazard P(stop | side),0.0888030888030888,23.0,259.0,0.058823529411764705,0.12664062980503105
below_good,bad,"hazard P(stop | side), K>=2",0.044534412955465584,11.0,247.0,,
above_good,both,hazard(good) - hazard(bad),0.13394921812395538,,,,
above_good,both,hazard ratio good/bad,3.3552737520128826,,,,
baseline[good=above],both,hazard(good) - hazard(bad),-0.0020210632687540503,,,,
baseline[good=above],both,hazard ratio good/bad,0.9703222814746115,,,,
baseline[good=below],both,hazard(good) - hazard(bad),0.0020210632687540503,,,,
baseline[good=below],both,hazard ratio good/bad,1.0305854241338113,,,,
below_good,both,hazard(good) - hazard(bad),0.06730550848197907,,,,
below_good,both,hazard ratio good/bad,1.757918552036199,,,,
