group,side,metric,p,k,n_steps,ci_lo,ci_hi
above_good,good,hazard P(stop | side),0.1798780487804878,59.0,328.0,0.13749039598108748,0.24390243902439024
above_good,good,"hazard P(stop | side), K>=2",0.10631229235880399,32.0,301.0,,
above_good,bad,hazard P(stop | side),0.08461538461538462,33.0,390.0,0.06424516939162524,0.11285669042813587
above_good,bad,"hazard P(stop | side), K>=2",0.06788511749347259,26.0,383.0,,
baseline[good=above],good,hazard P(stop | side),0.06607929515418502,30.0,454.0,0.049807199129167354,0.08943154367645913
baseline[good=above],good,"hazard P(stop | side), K>=2",0.0598669623059867,27.0,451.0,,
baseline[good=above],bad,hazard P(stop | side),0.06810035842293907,38.0,558.0,0.05512986699786569,0.08893849029957276
baseline[good=above],bad,"hazard P(stop | side), K>=2",0.059674502712477394,33.0,553.0,,
baseline[good=below],good,hazard P(stop | side),0.06810035842293907,38.0,558.0,0.05512986699786569,0.08893849029957276
baseline[good=below],good,"hazard P(stop | side), K>=2",0.059674502712477394,33.0,553.0,,
baseline[good=below],bad,hazard P(stop | side),0.06607929515418502,30.0,454.0,0.049807199129167354,0.08943154367645913
baseline[good=below],bad,"hazard P(stop | side), K>=2",0.0598669623059867,27.0,451.0,,
below_good,good,hazard P(stop | side),0.2425531914893617,57.0,235.0,0.1697503306878307,0.37421370967741935
below_good,good,"hazard P(stop | side), K>=2",0.1188118811881188,24.0,202.0,,
below_good,bad,hazard P(stop | side),0.1565217391304348,36.0,230.0,0.11649078373434642,0.22096253229974158
below_good,bad,"hazard P(stop | side), K>=2",0.11818181818181818,26.0,220.0,,
above_good,both,hazard(good) - hazard(bad),0.09526266416510318,,,,
above_good,both,hazard ratio good/bad,2.125831485587583,,,,
baseline[good=above],both,hazard(good) - hazard(bad),-0.0020210632687540503,,,,
baseline[good=above],both,hazard ratio good/bad,0.9703222814746115,,,,
baseline[good=below],both,hazard(good) - hazard(bad),0.0020210632687540503,,,,
baseline[good=below],both,hazard ratio good/bad,1.0305854241338113,,,,
below_good,both,hazard(good) - hazard(bad),0.0860314523589269,,,,
below_good,both,hazard ratio good/bad,1.5496453900709217,,,,
