run,cond,i,layer,vector,at_prompt_end,mean_reasoning,mean_first200,mean_last200,n_reasoning_tokens
qwen3.5-27b_20260823_223518,baseline,0,32,value_axis,-0.9518296718597412,-4.257049560546875,-6.811975479125977,-3.2335479259490967,10825
qwen3.5-27b_20260823_223518,baseline,0,32,random_control,-0.3838728666305542,0.021845735609531403,0.06821199506521225,0.029234355315566063,10825
qwen3.5-27b_20260823_223518,baseline,0,24,value_axis,-6.816488265991211,-9.426101684570312,-11.97713851928711,-8.653389930725098,10825
qwen3.5-27b_20260823_223518,baseline,0,24,random_control,0.5659583210945129,0.4430917203426361,0.3711588382720947,0.4545101225376129,10825
qwen3.5-27b_20260823_223518,baseline,0,40,value_axis,15.288619995117188,12.777880668640137,9.031179428100586,14.675030708312988,10825
qwen3.5-27b_20260823_223518,baseline,0,40,random_control,-1.0482219457626343,-1.2199339866638184,-1.0453780889511108,-1.1585509777069092,10825
qwen3.5-27b_20260823_223518,baseline,1,32,value_axis,-0.9518280029296875,-4.04610013961792,-6.325316905975342,-3.239748001098633,9488
qwen3.5-27b_20260823_223518,baseline,1,32,random_control,-0.3838731050491333,-0.002694486640393734,0.012389594689011574,-0.0075713396072387695,9488
qwen3.5-27b_20260823_223518,baseline,1,24,value_axis,-6.816493034362793,-9.34482479095459,-11.744682312011719,-8.939931869506836,9488
qwen3.5-27b_20260823_223518,baseline,1,24,random_control,0.5659584403038025,0.4797159433364868,0.42265579104423523,0.4542226493358612,9488
qwen3.5-27b_20260823_223518,baseline,1,40,value_axis,15.288623809814453,13.194127082824707,9.375591278076172,14.622397422790527,9488
qwen3.5-27b_20260823_223518,baseline,1,40,random_control,-1.0482203960418701,-1.298812747001648,-1.0396968126296997,-1.3677423000335693,9488
qwen3.5-27b_20260823_223518,baseline,2,32,value_axis,-0.9518280029296875,-4.223030090332031,-6.207850933074951,-2.845982074737549,9303
qwen3.5-27b_20260823_223518,baseline,2,32,random_control,-0.3838731050491333,0.030462680384516716,0.08916252106428146,-0.03338904678821564,9303
qwen3.5-27b_20260823_223518,baseline,2,24,value_axis,-6.816493034362793,-9.516481399536133,-11.643230438232422,-8.564037322998047,9303
qwen3.5-27b_20260823_223518,baseline,2,24,random_control,0.5659584403038025,0.4466427266597748,0.3464220464229584,0.4677342474460602,9303
qwen3.5-27b_20260823_223518,baseline,2,40,value_axis,15.288623809814453,13.013775825500488,10.156843185424805,15.620321273803711,9303
qwen3.5-27b_20260823_223518,baseline,2,40,random_control,-1.0482203960418701,-1.247033715248108,-1.1139024496078491,-1.1884626150131226,9303
qwen3.5-27b_20260823_223518,baseline,3,32,value_axis,-0.9518304467201233,-4.300670623779297,-6.077749729156494,-4.292868614196777,7386
qwen3.5-27b_20260823_223518,baseline,3,32,random_control,-0.3838730454444885,-0.024448415264487267,0.03705675154924393,0.07754228264093399,7386
qwen3.5-27b_20260823_223518,baseline,3,24,value_axis,-6.816487789154053,-9.581674575805664,-11.418871879577637,-9.386013984680176,7386
qwen3.5-27b_20260823_223518,baseline,3,24,random_control,0.5659583210945129,0.49321696162223816,0.41371726989746094,0.4122408926486969,7386
qwen3.5-27b_20260823_223518,baseline,3,40,value_axis,15.288633346557617,12.758808135986328,9.597496032714844,13.683218955993652,7386
qwen3.5-27b_20260823_223518,baseline,3,40,random_control,-1.0482215881347656,-1.2681081295013428,-1.0126131772994995,-1.3580310344696045,7386
qwen3.5-27b_20260823_223518,baseline,4,32,value_axis,-0.9518304467201233,-4.226266860961914,-6.526747226715088,-4.591490268707275,7396
qwen3.5-27b_20260823_223518,baseline,4,32,random_control,-0.3838730454444885,-0.006726082880049944,0.030759084969758987,0.17159490287303925,7396
