group,value,cond,n,p_cross_to_good,ci_good,p_cross_to_bad,ci_bad,asymmetry
all,,above_good,96,0.13541666666666666,"(0.0808762979676279, 0.21801314290671706)",0.0,"(0.0, 0.03847694748481595)",0.13541666666666666
all,,below_good,99,0.16161616161616163,"(0.1019986133990387, 0.24651405073687518)",0.010101010101010102,"(0.001785261320052029, 0.05501665541403223)",0.15151515151515152
all,,pooled,195,0.14871794871794872,"(0.10558497763208131, 0.20542438861723475)",0.005128205128205128,"(0.000905805133662179, 0.028472353159169905)",0.14358974358974358
restates_bet,True,above_good,96,0.13541666666666666,"(0.0808762979676279, 0.21801314290671706)",0.0,"(0.0, 0.03847694748481595)",0.13541666666666666
restates_bet,True,below_good,99,0.16161616161616163,"(0.1019986133990387, 0.24651405073687518)",0.010101010101010102,"(0.001785261320052029, 0.05501665541403223)",0.15151515151515152
restates_bet,True,pooled,195,0.14871794871794872,"(0.10558497763208131, 0.20542438861723475)",0.005128205128205128,"(0.000905805133662179, 0.028472353159169905)",0.14358974358974358
resolves_to_ignore,True,above_good,95,0.12631578947368421,"(0.07375581468316135, 0.20792315449580787)",0.0,"(0.0, 0.038866226366226365)",0.12631578947368421
resolves_to_ignore,True,below_good,96,0.15625,"(0.09703624472178266, 0.24191665667402834)",0.010416666666666666,"(0.0018411228184366352, 0.05666755492711232)",0.14583333333333334
resolves_to_ignore,True,pooled,191,0.14136125654450263,"(0.09900405189480148, 0.19786068335680806)",0.005235602094240838,"(0.0009247871697700711, 0.029056489929165676)",0.13612565445026178
explicit_aiming,True,above_good,22,0.45454545454545453,"(0.26920014432004846, 0.6534052671095845)",0.0,"(0.0, 0.14865952572596122)",0.45454545454545453
explicit_aiming,True,below_good,49,0.30612244897959184,"(0.1951532349314748, 0.4452815740069374)",0.0,"(0.0, 0.07270029673590504)",0.30612244897959184
explicit_aiming,True,pooled,71,0.352112676056338,"(0.2512258456160325, 0.4681815427882774)",0.0,"(0.0, 0.05132974174790491)",0.352112676056338
user_intent_reading,True,above_good,63,0.14285714285714285,"(0.07701861407975048, 0.24974795045491058)",0.0,"(0.0, 0.05747319034852546)",0.14285714285714285
user_intent_reading,True,below_good,68,0.20588235294117646,"(0.12679446140967612, 0.3164250659950587)",0.014705882352941176,"(0.002600616602350782, 0.07871160361546173)",0.19117647058823528
user_intent_reading,True,pooled,131,0.17557251908396945,"(0.11993681310262834, 0.24969392399927487)",0.007633587786259542,"(0.0013487543306202328, 0.04197318785932708)",0.1679389312977099
threshold_as_evidence,True,above_good,96,0.13541666666666666,"(0.0808762979676279, 0.21801314290671706)",0.0,"(0.0, 0.03847694748481595)",0.13541666666666666
threshold_as_evidence,True,below_good,99,0.16161616161616163,"(0.1019986133990387, 0.24651405073687518)",0.010101010101010102,"(0.001785261320052029, 0.05501665541403223)",0.15151515151515152
threshold_as_evidence,True,pooled,195,0.14871794871794872,"(0.10558497763208131, 0.20542438861723475)",0.005128205128205128,"(0.000905805133662179, 0.028472353159169905)",0.14358974358974358
suspicion,True,above_good,65,0.13846153846153847,"(0.07459006187684232, 0.24268321474659463)",0.0,"(0.0, 0.055803467670710726)",0.13846153846153847
suspicion,True,below_good,52,0.15384615384615385,"(0.08007589590882648, 0.2752434359154765)",0.019230769230769232,"(0.003402720409065522, 0.10120746268024422)",0.13461538461538464
suspicion,True,pooled,117,0.1452991452991453,"(0.09273862287355038, 0.22041181538612178)",0.008547008547008548,"(0.0015103146975802089, 0.046830653975459546)",0.13675213675213677
restates_bet,False,above_good,0,,"(nan, nan)",,"(nan, nan)",
restates_bet,False,below_good,0,,"(nan, nan)",,"(nan, nan)",
restates_bet,False,pooled,0,,"(nan, nan)",,"(nan, nan)",
resolves_to_ignore,False,above_good,1,1.0,"(0.20654329147389294, 1.0)",0.0,"(0.0, 0.7934567085261071)",1.0
