comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,28.0,10542.357142857143,10388.5,9.251424593537573,cell,,,,,,,,,,
above_good,incentive,good,67.0,10024.55223880597,9711.0,9.189392064586212,cell,,,,,,,,,,
above_good,baseline,bad,32.0,8531.5625,8303.5,9.037879994376787,cell,,,,,,,,,,
above_good,baseline,good,36.0,8445.694444444445,8284.5,9.028871699198065,cell,,,,,,,,,,
below_good,incentive,bad,36.0,10570.5,10430.0,9.248654375641413,cell,,,,,,,,,,
below_good,incentive,good,59.0,10456.593220338984,10299.0,9.238894702857166,cell,,,,,,,,,,
below_good,baseline,bad,36.0,8445.694444444445,8284.5,9.028871699198065,cell,,,,,,,,,,
below_good,baseline,good,32.0,8531.5625,8303.5,9.037879994376787,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.06203252895136124,0.009008295178722037,0.05302423377263921,-0.055536533892930916,0.15936839320715077,28.0,67.0,32.0,36.0
above_good,,,,,,,length_interaction,tokens,517.8049040511723,85.86805555555475,431.9368484956176,-584.5501434420157,1439.6331171523348,28.0,67.0,32.0,36.0
below_good,,,,,,,length_interaction,logL,0.009759672784246831,-0.009008295178722037,0.018767967962968868,-0.09209523608652907,0.12945679687557124,36.0,59.0,36.0,32.0
below_good,,,,,,,length_interaction,tokens,113.90677966101612,-85.86805555555475,199.77483521657086,-834.7239598046132,1277.0190030602653,36.0,59.0,36.0,32.0
