cond,metric,rate,n,ci_lo,ci_hi
above_good,rationalized_covert_rate,0.29,100,0.21014706973984149,0.3853907494000793
above_good,overt_aim_and_favoured_rate,0.06,100,0.027785745266656618,0.12476968531222504
above_good,p_favoured_given_denies,0.23076923076923078,13,0.08179379092465712,0.5025687399512693
above_good,p_favoured_given_admits,1.0,1,0.20654329147389294,1.0
below_good,rationalized_covert_rate,0.3434343434343434,99,0.25731989006284084,0.4412456709552685
below_good,overt_aim_and_favoured_rate,0.08080808080808081,99,0.041513905489623,0.1514196933653151
below_good,p_favoured_given_denies,0.34375,32,0.2041023335432855,0.5168922649121406
below_good,p_favoured_given_admits,,0,,
pooled,rationalized_covert_rate,0.3165829145728643,199,0.25595003682990275,0.3841632338206936
pooled,overt_aim_and_favoured_rate,0.07035175879396985,199,0.04236595318245634,0.11461170820455698
pooled,p_favoured_given_denies,0.3111111111111111,45,0.19528525463541907,0.4566507998754897
pooled,p_favoured_given_admits,1.0,1,0.20654329147389294,1.0
