comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,44.0,4343.931818181818,4197.0,8.349652044714807,cell,,,,,,,,,,
above_good,incentive,good,53.0,4087.6603773584907,3981.0,8.293012826688733,cell,,,,,,,,,,
above_good,baseline,bad,41.0,3731.2926829268295,3778.0,8.212594444524045,cell,,,,,,,,,,
above_good,baseline,good,51.0,3649.470588235294,3632.0,8.179765589715327,cell,,,,,,,,,,
below_good,incentive,bad,48.0,4564.541666666667,4695.0,8.391054834181665,cell,,,,,,,,,,
below_good,incentive,good,45.0,4053.488888888889,4025.0,8.28883645995401,cell,,,,,,,,,,
below_good,baseline,bad,51.0,3649.470588235294,3632.0,8.179765589715327,cell,,,,,,,,,,
below_good,baseline,good,41.0,3731.2926829268295,3778.0,8.212594444524045,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.05663921802607419,0.03282885480871833,0.023810363217355857,-0.09137443811880082,0.13618179886205206,44.0,53.0,41.0,51.0
above_good,,,,,,,length_interaction,tokens,256.27144082332734,81.82209469153531,174.44934613179203,-287.7236663879668,635.811224076189,44.0,53.0,41.0,51.0
below_good,,,,,,,length_interaction,logL,0.1022183742276539,-0.03282885480871833,0.13504722903637223,0.016144527990054548,0.2606353457643606,48.0,45.0,51.0,41.0
below_good,,,,,,,length_interaction,tokens,511.0527777777779,-81.82209469153531,592.8748724693132,126.28011049338417,1076.8523205603378,48.0,45.0,51.0,41.0
