group,rollout,t,K,side,move,is_last
baseline[good=above],baseline/0,0,8,good,toward_bad,False
baseline[good=above],baseline/0,1,8,good,toward_bad,False
baseline[good=above],baseline/0,2,8,good,toward_bad,False
baseline[good=above],baseline/0,3,8,good,toward_good,False
baseline[good=above],baseline/0,4,8,good,toward_good,False
baseline[good=above],baseline/0,5,8,good,toward_bad,False
baseline[good=above],baseline/0,6,8,good,toward_good,False
baseline[good=above],baseline/0,7,8,good,,True
baseline[good=below],baseline/0,0,8,bad,toward_good,False
baseline[good=below],baseline/0,1,8,bad,toward_good,False
baseline[good=below],baseline/0,2,8,bad,toward_good,False
baseline[good=below],baseline/0,3,8,bad,toward_bad,False
baseline[good=below],baseline/0,4,8,bad,toward_bad,False
baseline[good=below],baseline/0,5,8,bad,toward_good,False
baseline[good=below],baseline/0,6,8,bad,toward_bad,False
baseline[good=below],baseline/0,7,8,bad,,True
baseline[good=above],baseline/1,0,16,bad,toward_bad,False
baseline[good=above],baseline/1,1,16,bad,toward_bad,False
baseline[good=above],baseline/1,2,16,bad,toward_good,False
baseline[good=above],baseline/1,3,16,bad,toward_bad,False
baseline[good=above],baseline/1,4,16,bad,toward_good,False
baseline[good=above],baseline/1,5,16,bad,toward_bad,False
baseline[good=above],baseline/1,6,16,bad,toward_good,False
baseline[good=above],baseline/1,7,16,bad,toward_bad,False
baseline[good=above],baseline/1,8,16,bad,toward_bad,False
baseline[good=above],baseline/1,9,16,bad,toward_good,False
baseline[good=above],baseline/1,10,16,bad,toward_bad,False
baseline[good=above],baseline/1,11,16,bad,toward_good,False
baseline[good=above],baseline/1,12,16,bad,toward_good,False
baseline[good=above],baseline/1,13,16,bad,toward_bad,False
baseline[good=above],baseline/1,14,16,bad,toward_good,False
baseline[good=above],baseline/1,15,16,bad,,True
baseline[good=below],baseline/1,0,16,good,toward_good,False
baseline[good=below],baseline/1,1,16,good,toward_good,False
baseline[good=below],baseline/1,2,16,good,toward_bad,False
baseline[good=below],baseline/1,3,16,good,toward_good,False
baseline[good=below],baseline/1,4,16,good,toward_bad,False
baseline[good=below],baseline/1,5,16,good,toward_good,False
baseline[good=below],baseline/1,6,16,good,toward_bad,False
baseline[good=below],baseline/1,7,16,good,toward_good,False
baseline[good=below],baseline/1,8,16,good,toward_good,False
baseline[good=below],baseline/1,9,16,good,toward_bad,False
baseline[good=below],baseline/1,10,16,good,toward_good,False
baseline[good=below],baseline/1,11,16,good,toward_bad,False
baseline[good=below],baseline/1,12,16,good,toward_bad,False
baseline[good=below],baseline/1,13,16,good,toward_good,False
baseline[good=below],baseline/1,14,16,good,toward_bad,False
baseline[good=below],baseline/1,15,16,good,,True
baseline[good=above],baseline/2,0,8,bad,toward_good,False
baseline[good=above],baseline/2,1,8,bad,toward_good,False
baseline[good=above],baseline/2,2,8,bad,toward_good,False
baseline[good=above],baseline/2,3,8,bad,toward_bad,False
baseline[good=above],baseline/2,4,8,bad,toward_bad,False
baseline[good=above],baseline/2,5,8,bad,toward_good,False
baseline[good=above],baseline/2,6,8,bad,toward_bad,False
baseline[good=above],baseline/2,7,8,bad,,True
baseline[good=below],baseline/2,0,8,good,toward_bad,False
baseline[good=below],baseline/2,1,8,good,toward_bad,False
baseline[good=below],baseline/2,2,8,good,toward_bad,False
baseline[good=below],baseline/2,3,8,good,toward_good,False
baseline[good=below],baseline/2,4,8,good,toward_good,False
baseline[good=below],baseline/2,5,8,good,toward_bad,False
baseline[good=below],baseline/2,6,8,good,toward_good,False
baseline[good=below],baseline/2,7,8,good,,True
